hostname,score,sources,label,level
custodia.org,6,wikidata;wikidata,Custodian of the Holy Land,
wikidata.org,6,wikidata;wikidata,Deputy Ministry of Culture of Cyprus,central
agrotourism.com.cy,4,wikidata,Cyprus Agrotourism Company,
centralbank.cy,4,wikidata,Central Bank of Cyprus,
cera.org.cy,4,wikidata,Cyprus Energy Regulatory Authority,
childcom.org.cy,4,wikidata,Commissioner for Children’s Rights,
crta.org.cy,4,wikidata,Cyprus Radio Television Authority,
cy.usembassy.gov,4,wikidata,"Embassy of the United States, Nicosia",central
highereducation.ac.cy,4,wikidata,Department of Higher Education,
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Nicosia",central
ocecpr.ee.cy,4,wikidata,Commissioner of Electronic Communications and Postal Regulation,
pi.ac.cy,4,wikidata,Cyprus Pedagogical Institute,
resecfund.org.cy,4,wikidata,Renewable Energy Sources (RES) and Energy Conservation (EC) Fund,
unesco.org.cy,4,wikidata,Cyprus National Commission for UNESCO,
wbl.com.cy,4,wikidata,Water Board of Lemesos,
cy.ambafrance.org,3,wikidata,"Embassy of France, Nicosia",central
cy.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Nicosia",central
cyprus.mid.ru,3,wikidata,embassy of Russia in Cyprus,central
cyprus.representation.ec.europa.eu,3,wikidata,European Commission Representation in Cyprus,
cypruspost.post,3,wikidata,Cyprus Postal Services,
finlandabroad.fi,3,wikidata,embassy of Finland in Cyprus,central
mfa.bg,3,wikidata,embassy of Bulgaria in Cyprus,central
mfa.gr,3,wikidata,embassy of Greece in Cyprus,central
mzv.cz,3,wikidata,embassy of the Czech republic in Cyprus,central
mzv.sk,3,wikidata,embassy of Slovakia in Cyprus,central
nederlandwereldwijd.nl,3,wikidata,"Embassy of the Netherlands, Nicosia",central
nicosia.embassy.qa,3,wikidata,embassy of Qatar in Cyprus,central
nicosia.europarl.europa.eu,3,wikidata,European Parliament Liaison Office in Cyprus,central
nicosia.mae.ro,3,wikidata,"Embassy of Romania, Nicosia",central
nicosia.mfa.ir,3,wikidata,embassy of Iran in Cyprus,central
nikosia.diplo.de,3,wikidata,"Embassy of Germany, Nicosia",central
parliament.cy,3,wikidata;wikidata;wikidata,House of Representatives,central
swedenabroad.se,3,wikidata,"Embassy of Sweden, Nicosia",central
visitcyprus.com,3,wikidata,Visit Cyprus,
