hostname,indegree,indegree_tech
gouvernement.lu,13,0
public.lu,12,5
etat.lu,4,1
chd.lu,2,0
education.lu,2,0
uni.lu,2,0
vdl.lu,2,0
geoportail.lu,1,2
inondations.lu,1,0
itm.lu,1,0
meteolux.lu,1,1
petitiounen.lu,1,0
rgtr.lu,1,0
