field,text
country_name,"none"
government_type,"parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm"
capital,"Belmopan"
chief_of_state,"King CHARLES III (since 8 September 2022); represented by Governor-General Froyla TZALAM (since 27 May 2021)"
head_of_government,"Prime Minister John BRICEÑO (since 12 November 2020)"
judicial_highest_courts,"Supreme Court of Judicature (consists of the Court of Appeal with the court president and 3 justices, and the Supreme Court with the chief justice and 10 justices); the Caribbean Court of Justice is the final court of appeal"
constitution_history,"previous 1954, 1963 (pre-independence); latest signed and entered into force 21 September 1981"
