qid,label
Q11911,Canton of Berne
Q11917,Canton of Geneva
Q11922,Canton of Glarus
Q11925,Canton of the Grisons
Q11929,Canton of Solothurn
Q11933,Canton of Zug
Q11943,Canton of Zurich
Q11972,Canton of Aargau
Q12079,Canton of Appenzell Ausserrhoden
Q12094,Canton of Appenzell Innerrhoden
Q12121,Canton of Lucerne
Q12146,Canton of Basel-Landschaft
Q12172,Canton of Basel-Stadt
Q12404,Canton of Uri
Q12433,Canton of Schwyz
Q12573,Canton of Obwalden
Q12592,Canton of Nidwalden
Q12640,Canton of Fribourg
Q12697,Canton of Schaffhausen
Q12713,Canton of Thurgau
Q12724,Canton of Ticino
Q12738,Canton of Neuchâtel
Q12746,Canton of St. Gallen
Q12755,Canton of Jura
Q12771,Canton of Vaud
Q834,Canton of Valais
