subdomain,mx
primature.gouv.td,none
promotion.gouv.td,none
reconciliation.gouv.td,none
sante.gouv.td,none
securite.gouv.td,none
sgg.gouv.td,none
sigfip.cloud.finances.gouv.td,none
sigfip.finances.gouv.td,none
sigfipcloud.finances.gouv.td,none
sigfp.finances.gouv.td,none
signal.finances.gouv.td,none
signaling.finances.gouv.td,none
sis.sante.gouv.td,none
tchad.environnement.gouv.td,none
testcloud.finances.gouv.td,none
testmeet.finances.gouv.td,none
testsigfp.finances.gouv.td,none
tourisme.gouv.td,none
transports.gouv.td,none
tresor.gouv.td,none
urbanisme.gouv.td,none
vpserver.reconciliation.gouv.td,none
web.finances.gouv.td,none
webdisk.adac.gouv.td,none
webdisk.agriculture.gouv.td,none
webdisk.amenagement.gouv.td,none
webdisk.an.gouv.td,none
webdisk.atpe.gouv.td,none
webdisk.commerce.gouv.td,none
webdisk.communication.gouv.td,none
webdisk.cultourisme.gouv.td,none
webdisk.defense.gouv.td,none
webdisk.diplomatie.gouv.td,none
webdisk.education.gouv.td,none
webdisk.elevage.gouv.td,none
webdisk.enseignementsup.gouv.td,none
webdisk.environnement-eau.gouv.td,none
webdisk.femme.gouv.td,none
webdisk.fonctionpublique.gouv.td,none
webdisk.infrastructures.gouv.td,none
webdisk.interieur.gouv.td,none
webdisk.justice.gouv.td,none
webdisk.macmn.gouv.td,none
webdisk.mepd.gouv.td,none
webdisk.minpe.gouv.td,none
webdisk.mpntic.gouv.td,none
webdisk.petrole.gouv.td,none
webdisk.previsions.gouv.td,none
webdisk.reconciliation.gouv.td,none
webdisk.sante.gouv.td,none
webdisk.sgg.gouv.td,none
webdisk.webmail.gouv.td,none
webmail.adac.gouv.td,none
webmail.agriculture.gouv.td,none
webmail.amenagement.gouv.td,none
webmail.an.gouv.td,none
webmail.atpe.gouv.td,none
webmail.commerce.gouv.td,none
webmail.communication.gouv.td,none
webmail.cultourisme.gouv.td,none
webmail.defense.gouv.td,none
webmail.diplomatie.gouv.td,none
webmail.education.gouv.td,none
webmail.elevage.gouv.td,none
webmail.enseignementsup.gouv.td,none
webmail.environnement-eau.gouv.td,none
webmail.femme.gouv.td,none
webmail.fonctionpublique.gouv.td,none
webmail.gouv.td,none
webmail.infrastructures.gouv.td,none
webmail.interieur.gouv.td,none
webmail.justice.gouv.td,none
webmail.macmn.gouv.td,none
webmail.mepd.gouv.td,none
webmail.minpe.gouv.td,none
webmail.mpntic.gouv.td,none
webmail.petrole.gouv.td,none
webmail.previsions.gouv.td,none
webmail.reconciliation.gouv.td,none
webmail.sante.gouv.td,none
webmail.sgg.gouv.td,none
webmail.vpserver.reconciliation.gouv.td,none
webmail.webmail.gouv.td,none
whm.vpserver.reconciliation.gouv.td,none
wpt.jeunesse.gouv.td,0 mail.wpt.jeunesse.gouv.td.
wpt.primature.gouv.td,none
www.adac.gouv.td,none
www.agriculture.gouv.td,none
www.amenagement.gouv.td,0 mail.amenagement.gouv.td.
www.an.gouv.td,none
www.atpe.gouv.td,none
www.cnarr.interieur.gouv.td,none
www.commerce.gouv.td,none
www.communication.gouv.td,none
www.cr.sante.gouv.td,none
www.cultourisme.gouv.td,none
www.culture.gouv.td,none
www.deelcpn.environnement.gouv.td,none
www.defense.gouv.td,none
www.demo.securite.gouv.td,none
www.depss.environnement.gouv.td,none
www.dev.sante.gouv.td,none
www.dhis2.sante.gouv.td,none
www.diplomatie.gouv.td,none
www.dp.environnement.gouv.td,none
www.drhm.environnement.gouv.td,none
www.education.gouv.td,none
www.egpp.minpe.gouv.td,none
www.elevage.gouv.td,none
www.embassies.diplomatie.gouv.td,none
www.energie.gouv.td,none
www.enseignementsup.gouv.td,none
www.environnement-eau.gouv.td,none
www.environnement.gouv.td,none
www.femme.gouv.td,0 femme.gouv.td.
www.finances.gouv.td,none
www.fonction.gouv.td,none
www.fonctionpublique.gouv.td,none
www.formation.gouv.td,none
www.hydraulique.gouv.td,none
www.infrastructures.gouv.td,none
www.interieur.gouv.td,none
www.jeunesse.gouv.td,0 mail.jeunesse.gouv.td.
www.justice.gouv.td,none
www.m.commerce.gouv.td,none
www.m.minpe.gouv.td,none
www.macmn.gouv.td,none
www.mail.an.gouv.td,none
www.mails.minpe.gouv.td,none
www.mails.mpntic.gouv.td,none
www.mdm.sante.gouv.td,none
www.mepd.gouv.td,none
www.mepdci.gouv.td,none
www.mepdd.td.environnement.gouv.td,none
www.messagerie.minpe.gouv.td,none
