field,text
national_portal,"http://www.korea-dpr.com"
egdi_rank,"Rank 184 of 193"
source_url,"https://publicadministration.un.org/egovkb/en-us/Data/Country-Information/id/46-Democratic-Peoples-Republic-of-Korea"
