domain,label,level,name
gob.ar,abc,central-1,Dirección General de Cultura y Educación (Provincia de Buenos Aires)
gob.ar,agcba,central-1,Auditoría General de la Ciudad de Buenos Aires
gob.ar,agip,central-1,Administración Gubernamental de Ingresos Públicos (CABA)
gob.ar,apos,central-1,Administración Provincial de Obra Social (La Rioja)
gob.ar,asip,central-1,Agencia Santacruceña de Ingresos Públicos (Santa Cruz)
gob.ar,ater,central-1,Administradora Tributaria de Entre Ríos
gob.ar,atm,central-1,Administración Tributaria Mendoza
gob.ar,buenosaires,central-1,Ciudad Autónoma de Buenos Aires
gob.ar,buenosairescompras,central-1,Buenos Aires Compras - portal de compras del Gobierno de la Ciudad de Buenos Aires
gob.ar,cafesg,central-1,Comisión Administradora para el Fondo Especial de Salto Grande (Entre Ríos)
gob.ar,catamarca,central-1,Provincia de Catamarca
gob.ar,cba,central-1,Provincia de Córdoba
gob.ar,cesba,central-1,Consejo Económico y Social de la Ciudad de Buenos Aires
gob.ar,chaco,central-1,Provincia del Chaco
gob.ar,chubut,central-1,Provincia del Chubut
gob.ar,complejoteatral,central-1,Complejo Teatral de Buenos Aires (Gobierno de la Ciudad de Buenos Aires)
gob.ar,comunicaciontucuman,central-1,Secretaría de Comunicación Pública (Tucumán)
gob.ar,corrientes,central-1,Provincia de Corrientes
gob.ar,corrientesexporta,central-1,Corrientes Exporta (Gobierno de Corrientes)
gob.ar,corrientesprensa,central-1,Prensa del Gobierno de Corrientes
gob.ar,corrientesturismo,central-1,Turismo de la Provincia de Corrientes
gob.ar,defensoriaformosa,central-1,Defensoría del Pueblo de Formosa
gob.ar,defensoriatucuman,central-1,Defensoría del Pueblo de Tucumán
gob.ar,defensorsantiago,central-1,Defensor del Pueblo de Santiago del Estero
gob.ar,digestomisiones,central-1,Digesto Jurídico de la Provincia de Misiones
gob.ar,dondevotociudad,central-1,Dónde Voto - elecciones de la Ciudad Autónoma de Buenos Aires
gob.ar,dprneuquen,central-1,Dirección Provincial de Rentas del Neuquén
gob.ar,economianqn,central-1,Ministerio de Economía de la Provincia del Neuquén
gob.ar,eleccionesciudad,central-1,Elecciones de la Ciudad Autónoma de Buenos Aires
gob.ar,electoralsde,central-1,Tribunal Electoral de Santiago del Estero
gob.ar,electoraltucuman,central-1,Junta Electoral de Tucumán
gob.ar,energianeuquen,central-1,Energía de la Provincia del Neuquén
gob.ar,entrerios,central-1,Provincia de Entre Ríos
gob.ar,envdiputadossantafe,central-1,Cámara de Diputados de la Provincia de Santa Fe
gob.ar,epec,central-1,Empresa Provincial de Energía de Córdoba
gob.ar,espaciosantafesino,central-1,Espacio Santafesino - Ministerio de Cultura de Santa Fe
gob.ar,estadisticaciudad,central-1,Dirección General de Estadística y Censos (CABA)
gob.ar,formosa,central-1,Provincia de Formosa
gob.ar,gba,central-1,Provincia de Buenos Aires
gob.ar,haciendanqn,central-1,Hacienda de la Provincia del Neuquén
gob.ar,hospitalsantojanni,central-1,Hospital General de Agudos Donación Francisco Santojanni (CABA)
gob.ar,iasep,central-1,Instituto de Asistencia Social para Empleados Públicos (Formosa)
gob.ar,infuetur,central-1,Instituto Fueguino de Turismo (Tierra del Fuego)
gob.ar,insssep,central-1,Instituto de Seguridad Social Seguros y Préstamos (Chaco)
gob.ar,iosper,central-1,Instituto de Obra Social de la Provincia de Entre Ríos
gob.ar,ischigualasto,central-1,Parque Provincial Ischigualasto (San Juan)
gob.ar,issn,central-1,Instituto de Seguridad Social del Neuquén
gob.ar,issys,central-1,Instituto de Seguridad Social y Seguros (Chubut)
gob.ar,jujuy,central-1,Provincia de Jujuy
gob.ar,jusbaires,central-1,Poder Judicial de la Ciudad Autónoma de Buenos Aires
gob.ar,jusrionegro,central-1,Poder Judicial de Río Negro
gob.ar,jussantacruz,central-1,Poder Judicial de Santa Cruz
gob.ar,justiciachaco,central-1,Poder Judicial del Chaco
gob.ar,justiciacordoba,central-1,Poder Judicial de Córdoba
gob.ar,justiciajujuy,central-1,Poder Judicial de Jujuy
gob.ar,justicialapampa,central-1,Poder Judicial de La Pampa
gob.ar,justicialarioja,central-1,Poder Judicial de La Rioja
gob.ar,lapampa,central-1,Provincia de La Pampa
gob.ar,larioja,central-1,Provincia de La Rioja
gob.ar,legiscba,central-1,Legislatura de la Provincia de Córdoba
gob.ar,legislaturadetucuman,central-1,Legislatura de Tucumán
gob.ar,legislaturaformosa,central-1,Legislatura de Formosa
gob.ar,legislaturaneuquen,central-1,Legislatura de la Provincia del Neuquén
gob.ar,legislaturasde,central-1,Legislatura de Santiago del Estero
gob.ar,legisrn,central-1,Legislatura de Río Negro
gob.ar,legnqn,central-1,Legislatura de la Provincia del Neuquén
gob.ar,loteriaderionegro,central-1,Lotería de Río Negro
gob.ar,loteriadesantacruz,central-1,Lotería de Santa Cruz
gob.ar,mendoza,central-1,Provincia de Mendoza
gob.ar,minedujujuy,central-1,Ministerio de Educación de Jujuy
gob.ar,misiones,central-1,Provincia de Misiones
gob.ar,msalsgo,central-1,Ministerio de Salud de Santiago del Estero
gob.ar,museobrigadierlopez,central-1,Museo Histórico Provincial Brigadier Estanislao López (Santa Fe)
gob.ar,museomarc,central-1,Museo Histórico Provincial Dr. Julio Marc (Santa Fe)
gob.ar,museorosagalisteo,central-1,Museo Provincial de Bellas Artes Rosa Galisteo de Rodríguez (Santa Fe)
gob.ar,neuquen,central-1,Provincia del Neuquén
gob.ar,patrimoniosde,central-1,Patrimonio Cultural de Santiago del Estero
gob.ar,policialp,central-1,Policía de La Pampa
gob.ar,policiamisiones,central-1,Policía de Misiones
gob.ar,rentascordoba,central-1,Rentas Córdoba - Dirección General de Rentas (Córdoba)
gob.ar,rentasjujuy,central-1,Dirección Provincial de Rentas de Jujuy
gob.ar,rentasjujuyonline,central-1,Dirección Provincial de Rentas de Jujuy (servicios en línea)
gob.ar,rionegro,central-1,Provincia de Río Negro
gob.ar,salta,central-1,Provincia de Salta
gob.ar,saludmentalragone,central-1,Hospital de Salud Mental Dr. Miguel Ragone (Salta)
gob.ar,saludnqn,central-1,Ministerio de Salud de la Provincia del Neuquén
gob.ar,sanjuan,central-1,Provincia de San Juan
gob.ar,sanluis,central-1,Provincia de San Luis
gob.ar,santacruz,central-1,Provincia de Santa Cruz
gob.ar,santacruzpatagonia,central-1,Portal turístico de la Provincia de Santa Cruz
gob.ar,santafe,central-1,Provincia de Santa Fe
gob.ar,santafelavieja,central-1,Parque Arqueológico Santa Fe La Vieja (Santa Fe)
gob.ar,sde,central-1,Provincia de Santiago del Estero
gob.ar,senadodecatamarca,central-1,Senado de Catamarca
gob.ar,sisanjuan,central-1,Portal oficial del Gobierno de San Juan (Si San Juan)
gob.ar,tclarioja,central-1,Tribunal de Cuentas de La Rioja
gob.ar,tcpsantafe,central-1,Tribunal de Cuentas de la Provincia de Santa Fe
gob.ar,tcptdf,central-1,Tribunal de Cuentas de la Provincia de Tierra del Fuego
gob.ar,tierradelfuego,central-1,Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur
gob.ar,tramitescorrientes,central-1,Portal de trámites del Gobierno de Corrientes
gob.ar,tribcuentasmendoza,central-1,Tribunal de Cuentas de Mendoza
gob.ar,tucuman,central-1,Provincia de Tucumán
