field,text
country_name,"Kyrgyz Republic"
government_type,"parliamentary republic"
capital,"Bishkek"
chief_of_state,"President Sadyr JAPAROV (since 28 January 2021)"
head_of_government,"Chairman of the Cabinet of Ministers Adylbek KASYMALIYEV (since 18 December 2024)"
judicial_highest_courts,"Supreme Court (consists of 25 judges); Constitutional Chamber of the Supreme Court (consists of the chairperson, deputy chairperson, and 9 judges)"
constitution_history,"previous 1993, 2007, 2010; latest approved by referendum in 2021 "
