field,text
country_name,"Republic of Haiti"
government_type,"semi-presidential republic"
capital,"Port-au-Prince"
chief_of_state,"President (vacant)"
head_of_government,"Prime Minister Alix Didier FILS-AIMÉ (since 10 November 2024)"
judicial_highest_courts,"Supreme Court or Cour de cassation (consists of 12 judges)"
constitution_history,"many previous; latest adopted 10 March 1987, with substantial revisions in June 2012"
