subdomain,http_status,mx
acaib.social.gouv.bj,200,none
activities.gouv.bj,Connection timed out after 3001 milliseconds,none
admin.sitetest.agriculture.gouv.bj,SSL: no alternative certificate subject name matches target hostname 'admin.sitetest.agriculture.gouv.bj',none
admindpp.agriculture.gouv.bj,200,none
admindsa.agriculture.gouv.bj,200,none
adminfnda.agriculture.gouv.bj,200,none
adminsgm.agriculture.gouv.bj,200,none
adminstpcnos.agriculture.gouv.bj,200,none
agriculture.gouv.bj,200,0 agriculture-gouv-bj.mail.protection.outlook.com.
alafia.gouv.bj,Could not resolve host: alafia.gouv.bj,none
allogo.social.gouv.bj,Could not resolve host: allogo.social.gouv.bj,none
anapi.gouv.bj,Connection timed out after 3002 milliseconds,none
ansr.gouv.bj,500,none
api.bibliotheque.social.gouv.bj,404,none
api.courrier.travail.gouv.bj,Could not resolve host: api.courrier.travail.gouv.bj,none
api.formation.gouv.bj,502,none
api.maindoeuvre.gouv.bj,502,none
api.managemtfp.gouv.bj,500,none
api.ressources-eau.gouv.bj,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
api.sanctionpublic.gouv.bj,Could not resolve host: api.sanctionpublic.gouv.bj,none
api.simrhmasm.social.gouv.bj,200,none
api.sitetest.agriculture.gouv.bj,500,none
api.vacciform.gouv.bj,502,none
apicnhu.gouv.bj,502,none
apidpp.agriculture.gouv.bj,Operation timed out after 3000 milliseconds with 0 bytes received,none
apidsa.agriculture.gouv.bj,404,none
apifnda.agriculture.gouv.bj,500,none
apisgm.agriculture.gouv.bj,404,none
apisidoffe-ng.social.gouv.bj,Operation timed out after 3002 milliseconds with 0 bytes received,none
apistpcnos.agriculture.gouv.bj,200,none
artisanat.gouv.bj,Could not resolve host: artisanat.gouv.bj,none
asfep.gouv.bj,302,none
ask.gouv.bj,200,none
autodiscover.communication.gouv.bj,Could not resolve host: autodiscover.communication.gouv.bj,none
autodiscover.gouv.bj,Connection timed out after 3002 milliseconds,none
back.guvmtfp.gouv.bj,502,none
backend-sgifd.gouv.bj,401,none
bai.gouv.bj,Could not resolve host: bai.gouv.bj,none
be-evisa-ng.gouv.bj,Could not resolve host: be-evisa-ng.gouv.bj,none
be-evisa.gouv.bj,Could not resolve host: be-evisa.gouv.bj,none
bibliotheque.social.gouv.bj,200,none
bip.gouv.bj,302,none
bip.plan.gouv.bj,Could not resolve host: bip.plan.gouv.bj,none
bjidoc.gouv.bj,301,none
bo-evisa-ng.gouv.bj,Could not resolve host: bo-evisa-ng.gouv.bj,none
bo-evisa.gouv.bj,Could not resolve host: bo-evisa.gouv.bj,none
bourses.enseignementsuperieur.gouv.bj,500,none
cadredevie.gouv.bj,200,none
cagw-pki.gouv.bj,Could not resolve host: cagw-pki.gouv.bj,none
carriere.gouv.bj,Could not resolve host: carriere.gouv.bj,none
carrieres.gouv.bj,Could not resolve host: carrieres.gouv.bj,none
carrieres.travail.gouv.bj,Could not resolve host: carrieres.travail.gouv.bj,none
catis.gouv.bj,Could not resolve host: catis.gouv.bj,none
catistest.gouv.bj,SSL: no alternative certificate subject name matches target hostname 'catistest.gouv.bj',none
cnhu.gouv.bj,502,none
cnls-tp.gouv.bj,200,none
commerce.gouv.bj,500,none
communication.gouv.bj,Could not resolve host: communication.gouv.bj,10 mail.communication.gouv.bj.; 0 communication-gouv-bj.mail.protection.outlook.com.
compendiumbj.social.gouv.bj,Could not resolve host: compendiumbj.social.gouv.bj,none
competencesfemmesbenin.social.gouv.bj,Could not resolve host: competencesfemmesbenin.social.gouv.bj,none
concours.enseignementsuperieur.gouv.bj,200,none
concourspublic.gouv.bj,Could not resolve host: concourspublic.gouv.bj,none
construireaubenin.gouv.bj,Operation timed out after 3001 milliseconds with 0 bytes received,none
coop.social.gouv.bj,302,none
cooperation.enseignementsuperieur.gouv.bj,Could not resolve host: cooperation.enseignementsuperieur.gouv.bj,none
courrier.energie.gouv.bj,Operation timed out after 3002 milliseconds with 0 bytes received,none
courrier.social.gouv.bj,200,none
courrier.tourisme.gouv.bj,Could not resolve host: courrier.tourisme.gouv.bj,none
courrier.travail.gouv.bj,Could not resolve host: courrier.travail.gouv.bj,none
csirt.gouv.bj,301,0 csirt-gouv-bj.mail.protection.outlook.com.
culture.gouv.bj,Connection timed out after 3002 milliseconds,none
dashboard.ressources-eau.gouv.bj,Could not resolve host: dashboard.ressources-eau.gouv.bj,none
data.gouv.bj,Could not resolve host: data.gouv.bj,none
decentralisation.gouv.bj,500,10 mail.gouv.bj.
dei.gouv.bj,500,10 mail.gouv.bj.
demarchesmtfp.gouv.bj,200,none
demarchesmtfp.travail.gouv.bj,SSL: no alternative certificate subject name matches target hostname 'demarchesmtfp.travail.gouv.bj',none
dev.data.gouv.bj,Could not resolve host: dev.data.gouv.bj,none
dev.gouv.bj,Could not resolve host: dev.gouv.bj,none
developpement.gouv.bj,Could not resolve host: developpement.gouv.bj,none
dialin.bai.gouv.bj,Could not resolve host: dialin.bai.gouv.bj,none
diplomatie.gouv.bj,Could not resolve host: diplomatie.gouv.bj,0 diplomatie-gouv-bj.mail.protection.outlook.com.
diplomatie2.gouv.bj,Could not resolve host: diplomatie2.gouv.bj,none
direction-energie.gouv.bj,Could not resolve host: direction-energie.gouv.bj,none
douanes.gouv.bj,200,none
dpp.agriculture.gouv.bj,Could not resolve host: dpp.agriculture.gouv.bj,none
droitsreglementaires.gouv.bj,Could not resolve host: droitsreglementaires.gouv.bj,none
dsa.agriculture.gouv.bj,Could not resolve host: dsa.agriculture.gouv.bj,none
eau-mines.gouv.bj,200,none
ecodepermis.anatt.gouv.bj,Operation timed out after 3002 milliseconds with 0 bytes received,none
ecollecte-sante.gouv.bj,Could not resolve host: ecollecte-sante.gouv.bj,none
econseil.gouv.bj,Connection timed out after 3002 milliseconds,none
ecoordination.gouv.bj,200,none
ecoordinationapi.gouv.bj,Could not resolve host: ecoordinationapi.gouv.bj,none
ecoordinationbase.gouv.bj,Could not resolve host: ecoordinationbase.gouv.bj,none
eformation-sante.gouv.bj,200,none
eformation-santetest.gouv.bj,Operation timed out after 3001 milliseconds with 0 bytes received,none
emigration.gouv.bj,Could not resolve host: emigration.gouv.bj,none
emploi-pipeline.gouv.bj,Operation timed out after 3002 milliseconds with 0 bytes received,none
emploi.gouv.bj,Could not resolve host: emploi.gouv.bj,none
emploisante.gouv.bj,Could not resolve host: emploisante.gouv.bj,none
energie.gouv.bj,Could not resolve host: energie.gouv.bj,10 mail.energie.gouv.bj.
enseignementsecondaire.gouv.bj,200,10 mail.gouv.bj.
enseignementsuperieur.gouv.bj,Could not resolve host: enseignementsuperieur.gouv.bj,none
entreprise.gouv.bj,Could not resolve host: entreprise.gouv.bj,10 mail.gouv.bj.
espacecitoyen.cadredevie.gouv.bj,302,none
evacsan.gouv.bj,302,none
evad.gouv.bj,200,none
evaluation.gouv.bj,200,none
evenementiels.gouv.bj,Connection timed out after 3002 milliseconds,none
evenements.gouv.bj,Could not resolve host: evenements.gouv.bj,none
evisa-ng.gouv.bj,Could not resolve host: evisa-ng.gouv.bj,none
evisa.gouv.bj,Could not resolve host: evisa.gouv.bj,none
examens.enseignementsuperieur.gouv.bj,Could not resolve host: examens.enseignementsuperieur.gouv.bj,none
fac.gouv.bj,Could not resolve host: fac.gouv.bj,none
faen.gouv.bj,301,none
fichiernational.gouv.bj,Could not resolve host: fichiernational.gouv.bj,0 fichiernational-gouv-bj.mail.protection.outlook.com.
fnda.agriculture.gouv.bj,200,none
fndajsl.gouv.bj,Could not resolve host: fndajsl.gouv.bj,none
fonds.jeunesse.gouv.bj,Could not resolve host: fonds.jeunesse.gouv.bj,none
fonds.loisirs.gouv.bj,Could not resolve host: fonds.loisirs.gouv.bj,none
fonds.sports.gouv.bj,Could not resolve host: fonds.sports.gouv.bj,none
