qid,label
Q57525,Central District
Q57571,Ghanzi District
Q57581,Kgalagadi District
Q57593,Kgatleng District
Q57599,Kweneng District
Q57609,Southern District
Q57617,North-West District
Q57636,North-East District
Q57695,South-East District
