field,text
country_name,"Democratic Republic of Sao Tome and Principe"
government_type,"semi-presidential republic"
capital,"Sao Tome"
chief_of_state,"President Carlos Manuel VILA NOVA (since 2 October 2021)"
head_of_government,"Prime Minister Américo d'Oliveira DOS RAMOS (since 12 January 2025)"
judicial_highest_courts,"Supreme Court or Supremo Tribunal Justica (consists of 5 judges); Constitutional Court or Tribunal Constitucional (consists of 5 judges, 3 of whom are from the Supreme Court)"
constitution_history,"approved 5 November 1975"
