hostname,indegree,indegree_tech
latvija.gov.lv,89,0
likumi.lv,33,0
varam.gov.lv,11,0
data.gov.lv,8,0
izm.gov.lv,7,0
vmnvd.gov.lv,7,0
mod.gov.lv,6,0
mk.gov.lv,5,0
eis.gov.lv,4,0
lgia.gov.lv,4,0
pmlp.gov.lv,4,0
vamoic.gov.lv,4,0
vm.gov.lv,4,0
bti.gov.lv,3,0
em.gov.lv,3,0
jc.gov.lv,3,0
kase.gov.lv,3,0
knab.gov.lv,3,0
lm.gov.lv,3,0
nva.gov.lv,3,0
tm.gov.lv,3,0
vas.gov.lv,3,0
zm.gov.lv,3,0
bis.gov.lv,2,0
bvkb.gov.lv,2,0
covid19.gov.lv,2,0
csb.gov.lv,2,0
daba.gov.lv,2,0
dvi.gov.lv,2,0
jaunatne.gov.lv,2,0
km.gov.lv,2,0
lad.gov.lv,2,0
ldc.gov.lv,2,0
nbd.gov.lv,2,0
riga.lv,2,0
rs.gov.lv,2,0
rtu.lv,2,0
spkc.gov.lv,2,0
stat.gov.lv,2,0
vdaa.gov.lv,2,0
vi.gov.lv,2,0
viaa.gov.lv,2,0
visc.gov.lv,2,0
viss.gov.lv,2,1
vraa.gov.lv,2,0
vugd.gov.lv,2,0
vvd.gov.lv,2,0
akcmv.gov.lv,1,0
arhivi.gov.lv,1,0
at.gov.lv,1,0
business.gov.lv,1,0
cfla.gov.lv,1,0
cyber.gov.lv,1,0
es.gov.lv,1,0
eva.gov.lv,1,0
eveseliba.gov.lv,1,0
fm.gov.lv,1,0
idb.gov.lv,1,0
iem.gov.lv,1,0
ikvd.gov.lv,1,0
iub.gov.lv,1,0
jaunatneslietas.gov.lv,1,0
jic.gov.lv,1,0
kis.gov.lv,1,0
koledza.gov.lv,1,0
liaa.gov.lv,1,0
liepaja.lv,1,0
llm.gov.lv,1,0
lmmv.gov.lv,1,0
lpr.gov.lv,1,0
lrvk.gov.lv,1,0
lzp.gov.lv,1,0
mazaksslogs.gov.lv,1,0
mfa.gov.lv,1,0
midd.gov.lv,1,0
ozols.gov.lv,1,0
piksas.gov.lv,1,0
pkc.gov.lv,1,0
ptac.gov.lv,1,0
pvd.gov.lv,1,0
sbdmv.gov.lv,1,0
sif.gov.lv,1,0
siva.gov.lv,1,0
ta.gov.lv,1,0
termini.gov.lv,1,0
ts.gov.lv,1,0
valic.gov.lv,1,0
vdeavk.gov.lv,1,0
ventspils.lv,1,0
vp.gov.lv,1,0
vvc.gov.lv,1,0
