subdomain,http_status
cneac-gob-ni.cinemateca.gob.ni,"Resolving timed out after 3001 milliseconds"
cloudf.mific.gob.ni,"Resolving timed out after 3000 milliseconds"
cloud.mem.gob.ni,"Resolving timed out after 3000 milliseconds"
cneac.gob.ni,"Resolving timed out after 3000 milliseconds"
cloud.fcsp.gob.ni,"Resolving timed out after 3002 milliseconds"
cpcalendars.alcaldiaocotal.gob.ni,"401"
cnrcst.gob.ni,"Resolving timed out after 3001 milliseconds"
cnzf.gob.ni,"Resolving timed out after 3000 milliseconds"
expexterno.mined.gob.ni,"Could not resolve host: expexterno.mined.gob.ni"
expinterno.mined.gob.ni,"Could not resolve host: expinterno.mined.gob.ni"
fcsp.gob.ni,"Could not resolve host: fcsp.gob.ni"
fnca.cinemateca.gob.ni,"Could not resolve host: fnca.cinemateca.gob.ni"
fotos.intur.gob.ni,"Could not resolve host: fotos.intur.gob.ni"
ftp.inss.gob.ni,"Could not resolve host: ftp.inss.gob.ni"
cpanel.eniminas.gob.ni,"200"
inc.gob.ni,"Could not resolve host: inc.gob.ni"
fogade.gob.ni,"Could not resolve host: fogade.gob.ni"
geosinia.marena.gob.ni,"Could not resolve host: geosinia.marena.gob.ni"
fomav.gob.ni,"Could not resolve host: fomav.gob.ni"
correo.poderjudicial.gob.ni,"Connection timed out after 3001 milliseconds"
cpcalendars.ania.gob.ni,"503"
ibi.alcaldiaocotal.gob.ni,"Could not resolve host: ibi.alcaldiaocotal.gob.ni"
hojadetiempo.ineter.gob.ni,"Could not resolve host: hojadetiempo.ineter.gob.ni"
imap.sancarlos.gob.ni,"Could not resolve host: imap.sancarlos.gob.ni"
correos.policia.gob.ni,"Resolving timed out after 3000 milliseconds"
idr.gob.ni,"Could not resolve host: idr.gob.ni"
ine.gob.ni,"Could not resolve host: ine.gob.ni"
inide.gob.ni,"Could not resolve host: inide.gob.ni"
hys.mitrab.gob.ni,"Could not resolve host: hys.mitrab.gob.ni"
intranet.intur.gob.ni,"Could not resolve host: intranet.intur.gob.ni"
inpesca.gob.ni,"Could not resolve host: inpesca.gob.ni"
intur.gob.ni,"Could not resolve host: intur.gob.ni"
info.cam.gob.ni,"Could not resolve host: info.cam.gob.ni"
ineter.gob.ni,"Could not resolve host: ineter.gob.ni"
inss.gob.ni,"Could not resolve host: inss.gob.ni"
inta.gob.ni,"Could not resolve host: inta.gob.ni"
issdhu.gob.ni,"Could not resolve host: issdhu.gob.ni"
cpanel.alcaldiadepuertocabeza.gob.ni,"Resolving timed out after 3000 milliseconds"
juigalpan.gob.ni,"Could not resolve host: juigalpan.gob.ni"
jycponce.com.alcaldiaocotal.gob.ni,"Could not resolve host: jycponce.com.alcaldiaocotal.gob.ni"
kaikaia.poderjudicial.gob.ni,"Could not resolve host: kaikaia.poderjudicial.gob.ni"
kc.mined.gob.ni,"Could not resolve host: kc.mined.gob.ni"
inafor.gob.ni,"403"
cpcontacts.amev.gob.ni,"Could not resolve host: cpcontacts.amev.gob.ni"
login.craccs.gob.ni,"Could not resolve host: login.craccs.gob.ni"
mag.gob.ni,"Could not resolve host: mag.gob.ni"
dga.gob.ni,"Could not resolve host: dga.gob.ni"
exchange.intur.gob.ni,"Could not resolve host: exchange.intur.gob.ni"
mail.alcaldiadeyalaguina.gob.ni,"Could not resolve host: mail.alcaldiadeyalaguina.gob.ni"
mail.alcaldiadepuertocabeza.gob.ni,"Could not resolve host: mail.alcaldiadepuertocabeza.gob.ni"
mail.alcaldiajinotega.gob.ni,"Could not resolve host: mail.alcaldiajinotega.gob.ni"
ee.mined.gob.ni,"Could not resolve host: ee.mined.gob.ni"
cpcontacts.alcaldiamatiguas.gob.ni,"Could not resolve host: cpcontacts.alcaldiamatiguas.gob.ni"
mail.alcisa.gob.ni,"Could not resolve host: mail.alcisa.gob.ni"
mail.amev.gob.ni,"Could not resolve host: mail.amev.gob.ni"
mail.ania.gob.ni,"Could not resolve host: mail.ania.gob.ni"
cpcalendars.craccs.gob.ni,"401"
mail.cetrex.gob.ni,"Could not resolve host: mail.cetrex.gob.ni"
mail.cinemateca.gob.ni,"Could not resolve host: mail.cinemateca.gob.ni"
jobicu.craccs.gob.ni,"Could not resolve host: jobicu.craccs.gob.ni"
mail.cornap.gob.ni,"Could not resolve host: mail.cornap.gob.ni"
