domain,http_status,mx
osni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching osni.gov.uk found.,
pacni.gov.uk,301,
parolecommissionerni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching parolecommissionerni.gov.uk found.,
pbni.gov.uk,ConnectException,
planningni.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
planningsystemni.gov.uk,ConnectException,
pointer-ni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching pointer-ni.gov.uk found.,
ppsni.gov.uk,301,
prisonsinspectoratescotland.gov.uk,200,
probation-ni.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
procuratorfiscal.gov.uk,ConnectException,
proni.gov.uk,301,
publiccontractsscotland.gov.uk,SSLHandshakeException: Remote host terminated the handshake,
publicguardian-scotland.gov.uk,403,
ratingreviewni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ratingreviewni.gov.uk found.,
rcahmw.gov.uk,200,
redundancyni.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
rentofficer-ni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching rentofficer-ni.gov.uk found.,
roadworksscotland.gov.uk,ConnectException,
ros.gov.uk,301,
ruralni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ruralni.gov.uk found.,
saas.gov.uk,301,
sais.gov.uk,301,
sasa.gov.uk,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
scot.gov.uk,ConnectException,
scotcourts.gov.uk,200,
scotcourtstribunals.gov.uk,301,
scotland.gov.uk,301,
scotlandontap.gov.uk,200,
scotlandscensus.gov.uk,301,
scotlandsfinancialhealthservice.gov.uk,ConnectException,
scotlandshouseprices.gov.uk,ConnectException,
scotlandspeople.gov.uk,302,
scotlandsplaces.gov.uk,200,
scotlawcom.gov.uk,200,
scottishboundaries.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
scottishchildcare.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
scottishciviljusticecouncil.gov.uk,403,
scottishelectoralregister.gov.uk,301,
scottishfamilies.gov.uk,SSLException: (internal_error) Received fatal alert: internal_error,
scottishflooddefences.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
scottishhousingregulator.gov.uk,302,
