hostname,score,sources,label,level
auth.gr,4,wikidata,Aristotle University of Thessaloniki,university
duth.gr,4,wikidata,Democritus University of Thrace,university
ionio.gr,4,wikidata,Ionian University,university
uoi.gr,4,wikidata,University of Ioannina,university
uom.gr,4,wikidata,University of Macedonia,university
radio899.gr,7,wikidata;wikidata,Xanthi Municipal Radio,local
opanda.gr,4,wikidata,"Athens Municipality Agency for Culture, Athletics and Youth",local
cedefop.europa.eu,3,wikidata,European Centre for the Development of Professional Training,local
enisa.europa.eu,3,wikidata,European Union Agency for Cybersecurity,local
