domain,name
pup.gov.pl,Powiatowe urzędy pracy (offices du travail des powiats)
ug.gov.pl,Urzędy gmin (communes rurales — hôtes <gmina>.ug.gov.pl)
um.gov.pl,Urzędy miast (mairies — hôtes <ville>.um.gov.pl)
