domain,level,name
gov.pl,central,
pup.gov.pl,local,Powiatowe urzędy pracy (offices du travail des powiats)
ug.gov.pl,local,Urzędy gmin (communes rurales — hôtes <gmina>.ug.gov.pl)
um.gov.pl,local,Urzędy miast (mairies — hôtes <ville>.um.gov.pl)
