subdomain,http_status,mx
abcd.tsp.gob.cu,Connection timed out after 3000 milliseconds,none
abreus.gob.cu,301,10 mx.abreus.gob.cu.
aguadadepasajeros.gob.cu,301,10 mx.aguadadepasajeros.gob.cu.
aguaysaneamiento.hidro.gob.cu,503,none
amppcmg.gob.cu,Could not resolve host: amppcmg.gob.cu,none
apixejel.tsp.gob.cu,Connection timed out after 3000 milliseconds,none
apixejelprueba.tsp.gob.cu,Connection timed out after 3001 milliseconds,none
aquiles.tsp.gob.cu,Failed to connect to aquiles.tsp.gob.cu port 443 after 557 ms: Could not connect to server,none
arroyonaranjo.gob.cu,301,10 pmg02.infocap.cu.; 10 pmg01.infocap.cu.
artemisa.gob.cu,301,10 mx.artemisa.gob.cu.
autodiscover.inass.gob.cu,Could not resolve host: autodiscover.inass.gob.cu,dig error
banes.gob.cu,Operation timed out after 3001 milliseconds with 0 bytes received,10 mx.banes.gob.cu.
bbb.aduana.gob.cu,Connection timed out after 3001 milliseconds,none
bienestar.apppmy.gob.cu,Could not resolve host: bienestar.apppmy.gob.cu,dig error
bienestarapp.minjus.gob.cu,Resolving timed out after 3001 milliseconds,none
blue-meet.onat.gob.cu,Resolving timed out after 3000 milliseconds,dig error
blue-meet1.onat.gob.cu,Resolving timed out after 3000 milliseconds,10 mail.onat.gob.cu.
boyeros.gob.cu,301,10 pmg01.infocap.cu.; 10 pmg02.infocap.cu.
buenaventura.gob.cu,301,10 mx.buenaventura.gob.cu.
bueyarriba.gob.cu,301,10 mx.bueyarriba.gob.cu.
cabaiguan.gob.cu,Operation timed out after 3001 milliseconds with 0 bytes received,10 mx.cabaiguan.gob.cu.
caimanera.gob.cu,301,10 mx.caimanera.gob.cu.
camaguey.gob.cu,301,none
cas.mincex.gob.cu,Could not resolve host: cas.mincex.gob.cu,none
cayomambi.gob.cu,301,10 mx.cayomambi.gob.cu.
centrohabana.gob.cu,301,10 pmg01.infocap.cu.; 10 pmg02.infocap.cu.
cerro.gob.cu,301,10 pmg01.infocap.cu.; 10 pmg02.infocap.cu.
certificaciones.minjus.gob.cu,302,none
certs.hidro.gob.cu,503,none
cgrran.contraloria.gob.cu,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
ch.gob.cu,Could not resolve host: ch.gob.cu,10 pmg02.infocap.cu.; 10 pmg01.infocap.cu.
chaparra.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received,10 mx.chaparra.gob.cu.
chat.hidro.gob.cu,Could not resolve host: chat.hidro.gob.cu,none
ciegodeavila.gob.cu,301,10 mx.ciegodeavila.gob.cu.
cienfuegos.gob.cu,301,10 mx.cienfuegos.gob.cu.
cienfueguero.gob.cu,301,10 mx.cienfueguero.gob.cu.
cij.minjus.gob.cu,Could not resolve host: cij.minjus.gob.cu,none
citmacam.gob.cu,SSL certificate problem: self-signed certificate,0 ceniai1.net.cu.
ciudadholguin.gob.cu,200,none
ciudadprimada.gob.cu,301,10 mx.ciudadprimada.gob.cu.
civix-portal.tsp.gob.cu,Could not resolve host: civix-portal.tsp.gob.cu,none
civix.tsp.gob.cu,Connection timed out after 3000 milliseconds,none
conferencia.hidro.gob.cu,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
conferencia.mincex.gob.cu,SSL certificate problem: self-signed certificate,none
constitucion.minrex.gob.cu,Connection timed out after 3000 milliseconds,none
correo.citmacam.gob.cu,Could not resolve host: correo.citmacam.gob.cu,none
