field,text
country_name,"Hashemite Kingdom of Jordan"
government_type,"parliamentary constitutional monarchy"
capital,"Amman"
chief_of_state,"King ABDALLAH II (since 7 February 1999)"
head_of_government,"Prime Minister Jafar HASSAN (since 15 September 2024)"
judicial_highest_courts,"Court of Cassation or Supreme Court (consists of 15 members, including the chief justice); Constitutional Court (consists of 9 members)"
constitution_history,"previous 1928 (pre-independence); latest initially adopted 28 November 1947, revised and ratified 1 January 1952"
