hostname,indegree,indegree_tech
www.gov.pl,246,3
bip.gov.pl,163,0
epuap.gov.pl,155,0
dziennikustaw.gov.pl,81,0
monitorpolski.gov.pl,74,0
wroc.pl,51,1
ms.gov.pl,40,0
men.gov.pl,39,0
cke.gov.pl,38,0
bip.radom.pl,35,0
policja.gov.pl,35,0
nfz.gov.pl,33,0
praca.gov.pl,33,2
www.bydgoszcz.pl,33,5
gunb.gov.pl,27,0
rpo.gov.pl,25,0
www.wroclaw.pl,23,3
edoreczenia.gov.pl,22,0
edu.bydgoszcz.pl,22,7
ore.edu.pl,22,0
pacjent.gov.pl,22,0
rcl.gov.pl,22,0
www.bialystok.pl,22,0
geoportal.gov.pl,21,1
um.szczecin.pl,21,0
www.opole.pl,20,0
www.radom.pl,20,0
edu.bialystok.pl,19,0
sejm.gov.pl,19,0
brpo.gov.pl,18,0
krakow.pl,15,0
opole.uw.gov.pl,15,0
pe.szczecin.pl,15,0
pz.gov.pl,15,0
brpd.gov.pl,14,0
czystepowietrze.gov.pl,13,0
obywatel.gov.pl,13,0
uodo.gov.pl,13,0
zus.pl,13,0
ceidg.gov.pl,12,0
funduszeeuropejskie.gov.pl,12,0
vulcan.edu.pl,12,0
mpips.gov.pl,11,0
szczecin.uw.gov.pl,11,0
cke.edu.pl,10,0
diecezja.radom.pl,10,1
gios.gov.pl,10,0
lasy.gov.pl,10,0
nfosigw.gov.pl,10,0
parp.gov.pl,10,0
policja.pl,10,0
zpe.gov.pl,10,0
bip.warszawa.pl,9,0
biznes.gov.pl,9,0
bydgoszcz.uw.gov.pl,9,0
diecezja.bydgoszcz.pl,9,0
diecezja.rzeszow.pl,9,0
kuratorium.bialystok.pl,9,0
mac.gov.pl,9,0
mz.gov.pl,9,0
pb.edu.pl,9,0
poznan.pl,9,0
strony.bialystok.pl,9,0
uni.opole.pl,9,0
ipn.gov.pl,8,0
stat.gov.pl,8,0
um.bialystok.pl,8,0
wetgiw.gov.pl,8,0
zut.edu.pl,8,0
arimr.gov.pl,7,0
ezamowienia.gov.pl,7,0
kuratorium.opole.pl,7,0
login.gov.pl,7,0
rzeszow.uw.gov.pl,7,0
um.warszawa.pl,7,0
uokik.gov.pl,7,0
zditm.szczecin.pl,7,0
eurzad.szczecin.pl,6,0
kape.gov.pl,6,0
kielce.uw.gov.pl,6,0
ko.rzeszow.pl,6,0
kprm.gov.pl,6,0
malopolska.uw.gov.pl,6,0
mapadotacji.gov.pl,6,0
mkidn.gov.pl,6,0
ofertypracy.edu.pl,6,0
otwarta.bydgoszcz.pl,6,0
podatki.gov.pl,6,0
prz.edu.pl,6,0
radio.rzeszow.pl,6,0
usz.edu.pl,6,0
agh.edu.pl,5,0
bip.bialystok.pl,5,2
feniks.gov.pl,5,0
gdansk.uw.gov.pl,5,0
gddkia.gov.pl,5,0
internet.gov.pl,5,0
kas.gov.pl,5,0
kowr.gov.pl,5,0
kuratorium.wroclaw.pl,5,0
muci.edu.pl,5,0
nauka.gov.pl,5,0
ncn.gov.pl,5,0
oke.lomza.pl,5,0
pbr.szczecin.pl,5,0
pielgrzymka.rzeszow.pl,5,0
radio.opole.pl,5,0
rspo.gov.pl,5,0
torun.pl,5,0
uw.edu.pl,5,0
www.szczecin.pl,5,0
academica.edu.pl,4,0
borpa.bydgoszcz.pl,4,0
ckz.edu.pl,4,0
cmi.edu.pl,4,0
efs.gov.pl,4,0
ezdrowie.gov.pl,4,0
gdansk.pl,4,0
geoportal.wroclaw.pl,4,0
giodo.gov.pl,4,0
gis.gov.pl,4,0
gov.pl,4,0
ibe.edu.pl,4,0
icm.edu.pl,4,0
iwst.rzeszow.pl,4,0
komunikacja.bialystok.pl,4,0
mobywatel.gov.pl,4,0
nawa.gov.pl,4,0
osiedla.szczecin.pl,4,0
pip.gov.pl,4,0
po.edu.pl,4,1
po.opole.pl,4,0
poznan.uw.gov.pl,4,0
przyjaznyrodzinie.szczecin.pl,4,0
pum.edu.pl,4,0
pzo.edu.pl,4,0
rcb.gov.pl,4,0
strategia.bydgoszcz.pl,4,0
tdt.gov.pl,4,0
ukw.edu.pl,4,0
ur.edu.pl,4,0
wcrs.wroclaw.pl,4,0
wsd.rzeszow.pl,4,0
zdmikp.bydgoszcz.pl,4,0
