subdomain,parent_domain,http_status
mportal.pfms.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
mpslsw.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
ms3.isp.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
msoid.zim.gov.zw,gov.zw,"Could not resolve host: msoid.zim.gov.zw"
mwacsmed.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
nationalhousing.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
npa.gov.zw,gov.zw,"200"
office.isp.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
onlyoffice.isp.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
onlyoffice.trabablas.isp.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
opcbyometro.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
opccorpgovunit.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
opcmasheast.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
opcmatnorth.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
opcmeal.gov.zw,gov.zw,"500"
parlzim.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
pfms.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'pfms.gov.zw'"
pop3.gisp.gov.zw,gov.zw,"Could not resolve host: pop3.gisp.gov.zw"
pop3.zim.gov.zw,gov.zw,"Could not resolve host: pop3.zim.gov.zw"
portal.parlzim.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'portal.parlzim.gov.zw'"
potraz.gov.zw,gov.zw,"Could not resolve host: potraz.gov.zw"
prox1.mofait.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
psc.gov.zw,gov.zw,"Operation timed out after 3001 milliseconds with 0 bytes received"
registry.zimeris.gov.zw,gov.zw,"200"
repo.zimeris.gov.zw,gov.zw,"Could not resolve host: repo.zimeris.gov.zw"
rg.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
rpmqos.potraz.gov.zw,gov.zw,"307"
saps4dev.potraz.gov.zw,gov.zw,"Could not resolve host: saps4dev.potraz.gov.zw"
saps4prd.potraz.gov.zw,gov.zw,"Could not resolve host: saps4prd.potraz.gov.zw"
sftp.isp.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
sip.zim.gov.zw,gov.zw,"Could not resolve host: sip.zim.gov.zw"
skillshub.zimskills.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
smedb.women.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
smtp.gisp.gov.zw,gov.zw,"Failed to connect to smtp.gisp.gov.zw port 443 after 553 ms: Could not connect to server"
smtp.zim.gov.zw,gov.zw,"Could not resolve host: smtp.zim.gov.zw"
surveyorgeneral.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
test.gov.zw,gov.zw,"301"
test.zimeris.gov.zw,gov.zw,"Could not resolve host: test.zimeris.gov.zw"
test30.gov.zw,gov.zw,"Could not resolve host: test30.gov.zw"
testdomain1.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
testdomain10.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
testdomain13.gov.zw,gov.zw,"301"
testdomain14.gov.zw,gov.zw,"500"
testdomain15.gov.zw,gov.zw,"Operation timed out after 3001 milliseconds with 0 bytes received"
testdomain16.gov.zw,gov.zw,"200"
testdomain17.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
testdomain19.gov.zw,gov.zw,"301"
testdomain2.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
testdomain20.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
testdomain2023.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
testdomain21.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
testdomain22.gov.zw,gov.zw,"301"
testdomain23.gov.zw,gov.zw,"200"
testdomain24.gov.zw,gov.zw,"200"
testdomain25.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
testdomain26.gov.zw,gov.zw,"200"
testdomain27.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
testdomain28.gov.zw,gov.zw,"200"
testdomain3.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
testdomain30.gov.zw,gov.zw,"200"
testdomain31.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
testdomain32.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
testdomain4.gov.zw,gov.zw,"Operation timed out after 3002 milliseconds with 0 bytes received"
testdomain45.gov.zw,gov.zw,"Operation timed out after 3002 milliseconds with 0 bytes received"
testdomain5.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
testdomain6.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
testdomain8.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
testdomain9.gov.zw,gov.zw,"301"
theopc.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
tourismzim.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
trabablas.gisp.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
trabablas.isp.gov.zw,gov.zw,"Could not resolve host: trabablas.isp.gov.zw"
vc.theopc.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
wb14.gisp.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
web10.gisp.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
web13.gisp.gov.zw,gov.zw,"Failed to connect to web13.gisp.gov.zw port 443 after 1604 ms: Could not connect to server"
web19.gisp.gov.zw,gov.zw,"Could not resolve host: web19.gisp.gov.zw"
webdisk.wetlandscop15.gov.zw,gov.zw,"401"
webmail.44thsadcsummit.gov.zw,gov.zw,"200"
webmail.gisp.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
webmail.wetlandscop15.gov.zw,gov.zw,"200"
webon.zim.gov.zw,gov.zw,"Could not resolve host: webon.zim.gov.zw"
wetlandscop15.gov.zw,gov.zw,"Could not resolve host: wetlandscop15.gov.zw"
wlu1.potraz.gov.zw,gov.zw,"Could not resolve host: wlu1.potraz.gov.zw"
wlu2.potraz.gov.zw,gov.zw,"Could not resolve host: wlu2.potraz.gov.zw"
wlu3.potraz.gov.zw,gov.zw,"Could not resolve host: wlu3.potraz.gov.zw"
wm.gisp.gov.zw,gov.zw,"Resolving timed out after 3001 milliseconds"
women.gov.zw,gov.zw,"301"
www.44thsadcsummit.gov.zw,gov.zw,"301"
www.a.gov.zw,gov.zw,"Could not resolve host: www.a.gov.zw"
www.accounts.parlzim.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'www.accounts.parlzim.gov.zw'"
www.afz.gov.zw,gov.zw,"500"
www.agric.gov.zw,gov.zw,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
www.agriculture.gov.zw,gov.zw,"Could not resolve host: www.agriculture.gov.zw"
www.archives.gov.zw,gov.zw,"Could not resolve host: www.archives.gov.zw"
www.auditorgeneral.gov.zw,gov.zw,"301"
www.cch.gov.zw,gov.zw,"200"
www.chipingerdc.gov.zw,gov.zw,"200"
www.cle.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.deeds.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.defence.gov.zw,gov.zw,"200"
www.drss.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.dvls.gov.zw,gov.zw,"Could not resolve host: www.dvls.gov.zw"
www.energy.gov.zw,gov.zw,"200"
www.epermits.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.epermits.zimimmigration.gov.zw,gov.zw,"200"
www.evisa.gov.zw,gov.zw,"200"
www.gisp.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.hararehospital.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.hosting.gov.zw,gov.zw,"Could not resolve host: www.hosting.gov.zw"
www.ictministry.gov.zw,gov.zw,"200"
www.imt.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'www.imt.gov.zw'"
www.innovationdrive.gov.zw,gov.zw,"502"
www.justice.gov.zw,gov.zw,"200"
www.ldc.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
www.mail.agric.gov.zw,gov.zw,"Could not resolve host: www.mail.agric.gov.zw"
www.mail.gov.zw,gov.zw,"Could not resolve host: www.mail.gov.zw"
www.mail1.isp.gov.zw,gov.zw,"Could not resolve host: www.mail1.isp.gov.zw"
www.mashwest.gov.zw,gov.zw,"200"
www.mecw.gov.zw,gov.zw,"200"
www.mhtestd.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.mic.gov.zw,gov.zw,"200"
www.miced.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.mict.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.mines.gov.zw,gov.zw,"200"
www.mlg.gov.zw,gov.zw,"200"
www.moha.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.mohcc.gov.zw,gov.zw,"Could not resolve host: www.mohcc.gov.zw"
www.mopse.gov.zw,gov.zw,"200"
www.mopsemashwest.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.mosac.gov.zw,gov.zw,"404"
www.mosrac.gov.zw,gov.zw,"Could not resolve host: www.mosrac.gov.zw"
www.motid.gov.zw,gov.zw,"200"
www.movlsa.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
www.moysar.gov.zw,gov.zw,"200"
www.mpslsw.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.mwacsmed.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.nationalhousing.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.npa.gov.zw,gov.zw,"200"
www.opcbyometro.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.opccorpgovunit.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.opcmatnorth.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.opcmeal.gov.zw,gov.zw,"500"
www.parlzim.gov.zw,gov.zw,"403"
www.portal.parlzim.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'www.portal.parlzim.gov.zw'"
www.potraz.gov.zw,gov.zw,"307"
www.psc.gov.zw,gov.zw,"200"
www.rg.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.test.gov.zw,gov.zw,"200"
www.test30.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.testdomain.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
www.testdomain1.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.testdomain10.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
www.testdomain11.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.testdomain13.gov.zw,gov.zw,"200"
www.testdomain14.gov.zw,gov.zw,"500"
www.testdomain15.gov.zw,gov.zw,"200"
www.testdomain16.gov.zw,gov.zw,"301"
www.testdomain17.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.testdomain18.gov.zw,gov.zw,"Operation timed out after 3002 milliseconds with 0 bytes received"
www.testdomain19.gov.zw,gov.zw,"200"
www.testdomain2.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.testdomain20.gov.zw,gov.zw,"Could not resolve host: www.testdomain20.gov.zw"
www.testdomain2023.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.testdomain21.gov.zw,gov.zw,"200"
www.testdomain22.gov.zw,gov.zw,"200"
www.testdomain23.gov.zw,gov.zw,"301"
www.testdomain24.gov.zw,gov.zw,"200"
www.testdomain25.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.testdomain26.gov.zw,gov.zw,"200"
www.testdomain27.gov.zw,gov.zw,"Operation timed out after 3002 milliseconds with 0 bytes received"
www.testdomain28.gov.zw,gov.zw,"301"
www.testdomain3.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.testdomain30.gov.zw,gov.zw,"301"
www.testdomain31.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.testdomain32.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.testdomain4.gov.zw,gov.zw,"200"
www.testdomain45.gov.zw,gov.zw,"301"
www.testdomain5.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.testdomain6.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.testdomain7.gov.zw,gov.zw,"302"
www.testdomain8.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
www.testdomain9.gov.zw,gov.zw,"200"
www.theopc.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.tourismzim.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.web19.gisp.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.wetlandscop15.gov.zw,gov.zw,"200"
www.women.gov.zw,gov.zw,"200"
www.youth.gov.zw,gov.zw,"301"
www.zim.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.zimabuja.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.zimac.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.zimaddis.gov.zw,gov.zw,"200"
www.zimbabweatexpo2025.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
