subdomain,parent_domain,http_status
eurofondy.gov.sk,gov.sk,200
evo.gov.sk,gov.sk,302
ex1.nases.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'ex1.nases.gov.sk'
ex1.vicepremier.gov.sk,gov.sk,Could not resolve host: ex1.vicepremier.gov.sk
ez.data.gov.sk,gov.sk,SSL certificate problem: certificate has expired
finance.gov.sk,gov.sk,301
fix.ekolky.gov.sk,gov.sk,Could not resolve host: fix.ekolky.gov.sk
fsr.gov.sk,gov.sk,200
g2karantena1.gov.sk,gov.sk,Could not resolve host: g2karantena1.gov.sk
g2karantena2.gov.sk,gov.sk,Could not resolve host: g2karantena2.gov.sk
gender.gov.sk,gov.sk,302
genpro.gov.sk,gov.sk,404
gnbumdmc.sop.gov.sk,gov.sk,Connection timed out after 3001 milliseconds
government.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
govnet.gov.sk,gov.sk,302
health.gov.sk,gov.sk,302
hpisahptur.gov.sk,gov.sk,Could not resolve host: hpisahptur.gov.sk
hpur.vlada.gov.sk,gov.sk,Could not resolve host: hpur.vlada.gov.sk
hris.land.gov.sk,gov.sk,Could not resolve host: hris.land.gov.sk
ia.gov.sk,gov.sk,Could not resolve host: ia.gov.sk
iam.justice.gov.sk,gov.sk,Could not resolve host: iam.justice.gov.sk
iamt.justice.gov.sk,gov.sk,Could not resolve host: iamt.justice.gov.sk
iazasi.gov.sk,gov.sk,Could not resolve host: iazasi.gov.sk
id-sk.gov.sk,gov.sk,Could not resolve host: id-sk.gov.sk
idsk.gov.sk,gov.sk,200
imap.culture.gov.sk,gov.sk,Could not resolve host: imap.culture.gov.sk
informatizacia.gov.sk,gov.sk,Could not resolve host: informatizacia.gov.sk
intranet.isoh.gov.sk,gov.sk,Could not resolve host: intranet.isoh.gov.sk
ip.gov.sk,gov.sk,308
ipc.indprop.gov.sk,gov.sk,301
ipv6.gov.sk,gov.sk,Could not resolve host: ipv6.gov.sk
ivpr.gov.sk,gov.sk,200
jiscd.gov.sk,gov.sk,Could not resolve host: jiscd.gov.sk
justice.gov.sk,gov.sk,301
kolab1.culture.gov.sk,gov.sk,Could not resolve host: kolab1.culture.gov.sk
korona-test.gov.sk,gov.sk,Could not resolve host: korona-test.gov.sk
korona.gov.sk,gov.sk,301
kp.gov.sk,gov.sk,302
kvalitasocialnychsluzieb.gov.sk,gov.sk,Could not resolve host: kvalitasocialnychsluzieb.gov.sk
land.gov.sk,gov.sk,Could not resolve host: land.gov.sk
learn.uvo.gov.sk,gov.sk,Could not resolve host: learn.uvo.gov.sk
legacy.upsvr.gov.sk,gov.sk,Could not resolve host: legacy.upsvr.gov.sk
licencie.gov.sk,gov.sk,Could not resolve host: licencie.gov.sk
lms.vlada.gov.sk,gov.sk,Could not resolve host: lms.vlada.gov.sk
lotuswebmail.reserves.gov.sk,gov.sk,Could not resolve host: lotuswebmail.reserves.gov.sk
lt.justice.gov.sk,gov.sk,Could not resolve host: lt.justice.gov.sk
ludskezdroje.gov.sk,gov.sk,302
m-fix.ekolky.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'm-fix.ekolky.gov.sk'
m-test.ekolky.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'm-test.ekolky.gov.sk'
m.ekolky.gov.sk,gov.sk,500
mail.culture.gov.sk,gov.sk,Connection timed out after 3000 milliseconds
mail.enviro.gov.sk,gov.sk,302
mail.ip.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'mail.ip.gov.sk'
mail.mpsvr.gov.sk,gov.sk,302
mail.mzp.enviro.gov.sk,gov.sk,302
mail.nbu.gov.sk,gov.sk,Failed to connect to mail.nbu.gov.sk port 443 after 83 ms: Could not connect to server
mail.pdp.gov.sk,gov.sk,302
mail.reserves.gov.sk,gov.sk,Could not resolve host: mail.reserves.gov.sk
mail.vicepremier.gov.sk,gov.sk,302
mef.indprop.gov.sk,gov.sk,200
metais-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
metais-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
metais.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
metais.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
metais2-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
metais2-test.vicepremier.gov.sk,gov.sk,Could not resolve host: metais2-test.vicepremier.gov.sk
metais2.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
metais2.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
mirri.gov.sk,gov.sk,Could not resolve host: mirri.gov.sk
monitoring.vlada.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
mps.sudnarada.gov.sk,gov.sk,302
mydata-test.gov.sk,gov.sk,Could not resolve host: mydata-test.gov.sk
mydata.gov.sk,gov.sk,Could not resolve host: mydata.gov.sk
narodnostnemensiny.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
nases.gov.sk,gov.sk,200
nbu.gov.sk,gov.sk,302
nebojsa.gov.sk,gov.sk,302
new.skolenia.nases.gov.sk,gov.sk,Could not resolve host: new.skolenia.nases.gov.sk
ng2karantena1.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
ng2karantena2.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
norwaygrants.gov.sk,gov.sk,Could not resolve host: norwaygrants.gov.sk
novaobalka.gov.sk,gov.sk,Could not resolve host: novaobalka.gov.sk
npdi.gov.sk,gov.sk,Could not resolve host: npdi.gov.sk
npise.gov.sk,gov.sk,200
nptops.gov.sk,gov.sk,Could not resolve host: nptops.gov.sk
nptos.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'nptos.gov.sk'
nro.vicepremier.gov.sk,gov.sk,Could not resolve host: nro.vicepremier.gov.sk
obcan.justice.gov.sk,gov.sk,Could not resolve host: obcan.justice.gov.sk
obcan.upsvr.gov.sk,gov.sk,Could not resolve host: obcan.upsvr.gov.sk
objednavky.vlada.gov.sk,gov.sk,301
oek-msp.ekolky.gov.sk,gov.sk,Could not resolve host: oek-msp.ekolky.gov.sk
olaf.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
olaf.vlada.gov.sk,gov.sk,Could not resolve host: olaf.vlada.gov.sk
old.korona.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'old.korona.gov.sk'
oos.telecom.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
opatrenia.korona.gov.sk,gov.sk,Could not resolve host: opatrenia.korona.gov.sk
opii.gov.sk,gov.sk,SSL: no alternative certificate subject name matches target hostname 'opii.gov.sk'
opis.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
optp.vlada.gov.sk,gov.sk,404
otvorenavlada.gov.sk,gov.sk,Could not resolve host: otvorenavlada.gov.sk
oversi.gov.sk,gov.sk,HTTP/2 stream 1 was not closed cleanly: INTERNAL_ERROR (err 2)
owa.vlada.gov.sk,gov.sk,302
pamiatky.gov.sk,gov.sk,Recv failure: Connexion ré-initialisée par le correspondant
partnerskadohoda.gov.sk,gov.sk,200
podnikatel.upsvr.gov.sk,gov.sk,Could not resolve host: podnikatel.upsvr.gov.sk
portal.employment.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
portal.gov.sk,gov.sk,Could not resolve host: portal.gov.sk
post.employment.gov.sk,gov.sk,Could not resolve host: post.employment.gov.sk
posta.employment.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
posta.nbu.gov.sk,gov.sk,Failed to connect to posta.nbu.gov.sk port 443 after 91 ms: Could not connect to server
posta.upsvr.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
predsedavlady.gov.sk,gov.sk,Could not resolve host: predsedavlady.gov.sk
predsedavladysr.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
premier.gov.sk,gov.sk,Could not resolve host: premier.gov.sk
premierkasr.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
prezident.gov.sk,gov.sk,Could not resolve host: prezident.gov.sk
prieskumy.vlada.gov.sk,gov.sk,Could not resolve host: prieskumy.vlada.gov.sk
ptsp.nbu.gov.sk,gov.sk,Could not resolve host: ptsp.nbu.gov.sk
ra.nbu.gov.sk,gov.sk,Could not resolve host: ra.nbu.gov.sk
radaprestatnusluzbu.vlada.gov.sk,gov.sk,Could not resolve host: radaprestatnusluzbu.vlada.gov.sk
radavladylp.gov.sk,gov.sk,Could not resolve host: radavladylp.gov.sk
rancid.gov.sk,gov.sk,Could not resolve host: rancid.gov.sk
rdp.health.gov.sk,gov.sk,Could not resolve host: rdp.health.gov.sk
registerkultury.gov.sk,gov.sk,SSL certificate problem: unable to get local issuer certificate
registre.indprop.gov.sk,gov.sk,Could not resolve host: registre.indprop.gov.sk
rodinaapraca.gov.sk,gov.sk,200
rokovania.gov.sk,gov.sk,200
rpi.gov.sk,gov.sk,Could not resolve host: rpi.gov.sk
rpvs.gov.sk,gov.sk,302
safework.gov.sk,gov.sk,404
sdusht.telecom.gov.sk,gov.sk,403
sepavs.gov.sk,gov.sk,Could not resolve host: sepavs.gov.sk
