hostname,score,sources,label,level
cultura.ad,7,wikidata;wikidata,National Archives of Andorra | Andorra National Library,central
educacio.ad,7,wikidata;wikidata,Ministry of Education and Higher Education of Andorra,central
exteriors.ad,7,wikidata;wikidata,Ministry of Foreign Affairs,central
finances.ad,7,wikidata;wikidata,Ministry of Finance of Andorra,central
mobilitat.ad,7,wikidata;wikidata,Ministry of Territorial Planning of Andorra,central
turisme.ad,7,wikidata;wikidata,Ministry of Tourism of Andorra,central
tribunalconstitucional.ad,6,wikidata,Andorra. Tribunal Constitucional,
afa.ad,4,wikidata,Andorran Financial Authority,
apda.ad,4,wikidata,Data Protection Agency,central
ari.ad,4,wikidata,Andorra Recerca + Innovació,
banders.ad,4,wikidata,Cos de Banders d'Andorra,central
cass.ad,4,wikidata,Caixa Andorrana de Seguretat Social,
cea.ad,4,wikidata,Confederació Empresarial Andorrana,
estadistica.ad,4,wikidata,Departament d'Estadística,central
estadistica.desenvolupament.ad,4,wikidata,Departament d'Estadística,central
policia.ad,4,wikidata,Police Corps of Andorra,
saas.ad,4,wikidata,Servei Andorrà d’Atenció Sanitària,
salut.ad,4,wikidata,Comitè Nacional de Bioètica d'Andorra,
uifand.ad,4,wikidata,Financial Intelligence Unit of Andorra,
unesco.ad,4,wikidata,Andorran National Commission for UNESCO,
ad.ambafrance.org,3,wikidata,"Embassy of France, Andorra la Vella",central
armenianembassyad.com,3,wikidata,Honorary Consulate of Armenia in Andorra,
exteriors.gencat.cat,3,wikidata,"Government Delegation of Catalonia, Andorra",central
consellgeneral.ad,2,wikidata;wikidata,General Council of Andorra,central
