hostname,score,sources,label,level
kna.kw,7,wikidata;wikidata,National Assembly of Kuwait,central
moe.edu.kw,7,wikidata;wikidata,Ministry of Education,central
mohe.edu.kw,7,wikidata;wikidata,Ministry of Higher Education,central
csc.net.kw,4,wikidata,Civil Service Council,
epa.org.kw,4,wikidata,Environment Public Authority,central
kuna.net.kw,4,wikidata,Kuwait News Agency,
kuvait.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Kuwait",
kw.usembassy.gov,4,wikidata,embassy of the United States in Kuwait,central
sp.mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Kuwait",central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Kuwait,
ghanaembassy-kuwait.com,3,wikidata,embassy of Ghana in Kuwait,central
kgoc.com,3,wikidata,Kuwait Gulf Oil Company,
kuwait.diplo.de,3,wikidata,"Embassy of Germany, Kuwait",central
kuwait.mid.ru,3,wikidata,embassy of Russia in Kuwait,central
kuweit.mae.ro,3,wikidata,embassy of Romania in Kuwait,central
kw.ambafrance.org,3,wikidata,"Embassy of France, Kuwait City",central
malawigulf.com,3,wikidata,embassy of Malawi in Kuwait,central
mfa.bg,3,wikidata,embassy of Bulgaria in Kuwait,central
mfa.gr,3,wikidata,embassy of Greece in Kuwait,central
mzv.cz,3,wikidata,embassy of the Czech republic in Kuwait,central
mzv.sk,3,wikidata,embassy of Slovakia in Kuwait,central
roc-taiwan.org,3,wikidata,Taipei Commercial Representative Office in the State of Kuwait,
