qid,label
Q104036,Ventspils
Q1345325,Ventspils Municipality
Q167668,Liepāja
Q1773,Riga
Q178382,Jūrmala
Q179830,Jelgava
Q180379,Rēzekne
Q1945263,Valka Municipality
Q209187,Gulbene Municipality
Q2140753,Salaspils Municipality
Q2277489,Līvāni Municipality
Q2451375,Olaine Municipality
Q3393445,Alūksne Municipality
Q80021,Daugavpils
Q97229842,Aizkraukle Municipality
Q97230083,Augšdaugava Municipality
Q97230143,Balvi Municipality
Q97230394,Cēsis Municipality
Q97230452,South Kurzeme Municipality
Q97230466,Dobele Municipality
Q97231093,Jelgava Municipality
Q97231194,Jēkabpils Municipality
Q97231555,Krāslava Municipality
Q97231583,Kuldīga Municipality
Q97231916,Limbaži Municipality
Q97231943,Ludza Municipality
Q97231990,Madona Municipality
Q97232200,Mārupe Municipality
Q97232220,Ogre Municipality
Q97232413,Preiļi Municipality
Q97232560,Ropaži Municipality
Q97232589,Rēzekne Municipality
Q97232673,Saldus Municipality
Q97232692,Saulkrasti Municipality
Q97232700,Sigulda Municipality
Q97232760,Smiltene Municipality
Q97232890,Talsi Municipality
Q97232977,Tukums Municipality
Q97233086,Valmiera Municipality
Q97233421,Ādaži Municipality
Q97233440,Ķekava Municipality
