field,text
country_name,"none"
government_type,"semi-presidential republic"
capital,"Tbilisi"
chief_of_state,"President Mikheil KAVELASHVILI (since 29 December 2024)"
head_of_government,"Prime Minister Irakli KOBAKHIDZE (since 8 February 2024)"
judicial_highest_courts,"Supreme Court (consists of 28 judges organized into several specialized judicial chambers; number of judges determined by the president of Georgia); Constitutional Court (consists of 9 judges) "
constitution_history,"previous 1921, 1978 (based on 1977 Soviet Union constitution); latest approved 24 August 1995, effective 17 October 1995"
