qid,label
Q1043446,Rasina District
Q1048139,Kolubara District
Q1048184,Toplica District
Q1061076,Nišava District
Q1061082,Raška District
Q1061099,Pčinja District
Q124725,Kosovo-Pomoravlje District
Q1452368,Kosovo District
Q201085,Prizren District (Serbia)
Q2017517,Kosovska Mitrovica District
Q2074197,City of Belgrade
Q217331,Srem District
Q2510536,Peć District
Q425782,Central Banat District
Q477586,Bor District
Q478278,Zlatibor District
Q544118,Šumadija District
Q580069,Pirot District
Q648718,South Bačka District
Q648758,North Bačka District
Q720030,South Banat District
Q728041,North Banat District
Q735169,West Bačka District
Q778561,Podunavlje District
Q861539,Braničevo District
Q867803,Mačva District
Q867816,Pomoravlje District
Q876541,Jablanica District
Q915380,Moravica District
Q967339,Zaječar District
