field,text
country_name,"Islamic Republic of Pakistan"
government_type,"federal parliamentary republic"
capital,"Islamabad"
chief_of_state,"President Asif Ali ZARDARI (since 10 March 2024)"
head_of_government,"Prime Minister Muhammad Shehbaz SHARIF (since 3 March 2024)"
judicial_highest_courts,"Supreme Court of Pakistan (consists of the chief justice and 16 judges)"
constitution_history,"several previous; latest endorsed 12 April 1973, passed 19 April 1973, entered into force 14 August 1973 (suspended and restored several times)"
