subdomain,http_status
eas.social.gov.tt,"Could not resolve host: eas.social.gov.tt"
autodiscover.ssa.gov.tt,"302"
fiuconnect.fiu.gov.tt,"Could not resolve host: fiuconnect.fiu.gov.tt"
etax.ird.gov.tt,"Could not resolve host: etax.ird.gov.tt"
eduid.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'eduid.gov.tt'"
forensic.gov.tt,"Could not resolve host: forensic.gov.tt"
cpanel.globalskills.gov.tt,"Could not resolve host: cpanel.globalskills.gov.tt"
eas.mpsd.gov.tt,"Could not resolve host: eas.mpsd.gov.tt"
autodiscover.pos.pai.gov.tt,"Could not resolve host: autodiscover.pos.pai.gov.tt"
fte.tha.gov.tt,"Could not resolve host: fte.tha.gov.tt"
cso.gov.tt,"200"
fatca.ird.gov.tt,"Could not resolve host: fatca.ird.gov.tt"
data.gov.tt,"200"
inspect.mowt.gov.tt,"403"
emm.mns.gov.tt,"Could not resolve host: emm.mns.gov.tt"
eros.ttps.gov.tt,"Could not resolve host: eros.ttps.gov.tt"
exch-cas.ag.gov.tt,"Could not resolve host: exch-cas.ag.gov.tt"
exch.ag.gov.tt,"Could not resolve host: exch.ag.gov.tt"
d0001eca02.gov.tt,"Could not resolve host: d0001eca02.gov.tt"
energy.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'energy.gov.tt'"
cpanel.sport.gov.tt,"Could not resolve host: cpanel.sport.gov.tt"
eris.ttps.gov.tt,"Could not resolve host: eris.ttps.gov.tt"
cpcontacts.sport.gov.tt,"Could not resolve host: cpcontacts.sport.gov.tt"
fairshare.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
extranet.finance.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'extranet.finance.gov.tt'"
imap.trha.gov.tt,"Could not resolve host: imap.trha.gov.tt"
extranet2.finance.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'extranet2.finance.gov.tt'"
intecpho.wasa.gov.tt,"Could not resolve host: intecpho.wasa.gov.tt"
dhsstha.gov.tt,"Could not resolve host: dhsstha.gov.tt"
autodiscover.envw.gov.tt,"Could not resolve host: autodiscover.envw.gov.tt"
legacymail.wasa.gov.tt,"Could not resolve host: legacymail.wasa.gov.tt"
