domain,name
abbasandtemplecombe-pc.gov.uk,
abbertonandlangenhoeparish.gov.uk,
abbeydoreandbactongroup-pc.gov.uk,
abbeyhillparishcouncil.gov.uk,
abbotskerswell-pc.gov.uk,
abbotslangley-pc.gov.uk,Abbots Langley
abbotsleighparish.gov.uk,
abbotsleyparishcouncil.gov.uk,
abbotsmorton-pc.gov.uk,
abbotsripton-pc.gov.uk,
abbottsann-pc.gov.uk,
abbr-pc.gov.uk,
abdonandheathparish.gov.uk,
abenburycommunitycouncil.gov.uk,
aberdeencity.gov.uk,Aberdeen City Council
aberdeenshire.gov.uk,Aberdeenshire Council
aberford-pc.gov.uk,
abergavennytowncouncil.gov.uk,Abergavenny Town Council
abermulellandyssil-cc.gov.uk,
aberporthcommunitycouncil.gov.uk,
abertilleryandllanhilleth-wcc.gov.uk,
aberystwyth.gov.uk,Aberystwyth Town Council
abinger-pc.gov.uk,
abington-pc.gov.uk,
abthorpeparish.gov.uk,
acastermalbis-pc.gov.uk,Acaster Malbis
acklington-pc.gov.uk,
ackworthparishcouncil.gov.uk,
acleparishcouncil.gov.uk,
acol-pc.gov.uk,
acombparish.gov.uk,
actonbridge-pc.gov.uk,
actonburnell-pc.gov.uk,
actoncommunitycouncil.gov.uk,
actonparishcouncil.gov.uk,
actontrussellbednall-pc.gov.uk,
actonturville-pc.gov.uk,
adderburyparishcouncil.gov.uk,
adderstonewithluckerparish.gov.uk,
addingham-pc.gov.uk,
addington-pc.gov.uk,
addlethorpeparishcouncil.gov.uk,
adisham-pc.gov.uk,
adlington-pc.gov.uk,
adlingtontowncouncil.gov.uk,
admingtonparishcouncil.gov.uk,
adstockparish.gov.uk,
adur-worthing.gov.uk,Worthing
adur.gov.uk,Adur
adurdc.gov.uk,
aightonbaileyandchaigley-pc.gov.uk,
ailsworth-pc.gov.uk,
ainstable-pc.gov.uk,
aintreevillageparishcouncil.gov.uk,
aiskewleemingbar-pc.gov.uk,
aislabyparishcouncil.gov.uk,
akeleyparishcouncil.gov.uk,Akeley
alberburywithcardestonparishcouncil.gov.uk,
albourne-pc.gov.uk,
albrightondonington-pc.gov.uk,
albrightonparishcouncil.gov.uk,
alburgh-pc.gov.uk,
alburyparishcouncil.gov.uk,
alcester-tc.gov.uk,Alcester Town Council
alconburyparishcouncil.gov.uk,Alconbury
alconburyweston-pc.gov.uk,
alcshropshire.gov.uk,
aldboroughandthurgarton-pc.gov.uk,
aldbourne-pc.gov.uk,
aldbroughstjohnparishcouncil.gov.uk,
aldburyparishcouncil.gov.uk,
aldeburghtowncouncil.gov.uk,Aldeburgh Town Council
aldebyparishcouncil.gov.uk,
aldenham-pc.gov.uk,
alderburyparishcouncil.gov.uk,Alderbury Parish Council
alderholtparishcouncil.gov.uk,
alderleyedge-pc.gov.uk,Alderley Edge Parish Council
aldermaston-pc.gov.uk,
alderminster-pc.gov.uk,Alderminster
aldertonparishcouncil.gov.uk,
aldertonsuffolk-pc.gov.uk,
alderwasleyparishcouncil.gov.uk,
aldfordandsaighton-pc.gov.uk,
aldhamparishcouncil.gov.uk,
aldhamsuffolk-pc.gov.uk,
aldingbourne-pc.gov.uk,
aldinghamparishcouncil.gov.uk,
aldingtonandbonnington-pc.gov.uk,
aldsworthparishcouncil.gov.uk,
aldwickparishcouncil.gov.uk,Aldwick Parish Council
aldwincleparishcouncil.gov.uk,
aldworth-pc.gov.uk,
alfoldparishcouncil.gov.uk,
alfordtowncouncil.gov.uk,
alfretontowncouncil.gov.uk,
algarkirkparishcouncil.gov.uk,
alkboroughwalcotparishcouncil.gov.uk,Alkborough
alkingtonparishcouncil.gov.uk,
allbrook-pc.gov.uk,
allcannings-pc.gov.uk,
allendaleparish.gov.uk,
allerdale.gov.uk,Allerdale Borough Council
allerparishcouncil.gov.uk,
allerthorpeparishcouncil.gov.uk,
allertonbywaterparishcouncil.gov.uk,
allesleyparishcouncil.gov.uk,
allhallows-pc.gov.uk,
allhallowskent-pc.gov.uk,
allingtonboscombewilts-pc.gov.uk,
allithwaiteandcartmel-pc.gov.uk,
allostockparishcouncil.gov.uk,
allsaints-pc.gov.uk,
