domain,level
abbasandtemplecombe-pc.gov.uk,local
abbertonandlangenhoeparish.gov.uk,local
abbeydoreandbactongroup-pc.gov.uk,local
abbeyhillparishcouncil.gov.uk,local
abbotskerswell-pc.gov.uk,local
abbotslangley-pc.gov.uk,local
abbotsleighparish.gov.uk,local
abbotsleyparishcouncil.gov.uk,local
abbotsmorton-pc.gov.uk,local
abbotsripton-pc.gov.uk,local
abbottsann-pc.gov.uk,local
abbr-pc.gov.uk,local
abdonandheathparish.gov.uk,local
abenburycommunitycouncil.gov.uk,local
aberdeencity.gov.uk,local
aberdeenshire.gov.uk,local
aberford-pc.gov.uk,local
abergavennytowncouncil.gov.uk,local
abermulellandyssil-cc.gov.uk,local
aberporthcommunitycouncil.gov.uk,local
abertilleryandllanhilleth-wcc.gov.uk,local
aberystwyth.gov.uk,local
abinger-pc.gov.uk,local
abington-pc.gov.uk,local
abthorpeparish.gov.uk,local
acastermalbis-pc.gov.uk,local
acklington-pc.gov.uk,local
ackworthparishcouncil.gov.uk,local
acleparishcouncil.gov.uk,local
acol-pc.gov.uk,local
acombparish.gov.uk,local
actonbridge-pc.gov.uk,local
actonburnell-pc.gov.uk,local
actoncommunitycouncil.gov.uk,local
actonparishcouncil.gov.uk,local
actontrussellbednall-pc.gov.uk,local
actonturville-pc.gov.uk,local
adderburyparishcouncil.gov.uk,local
adderstonewithluckerparish.gov.uk,local
addingham-pc.gov.uk,local
addington-pc.gov.uk,local
addlethorpeparishcouncil.gov.uk,local
adisham-pc.gov.uk,local
adlington-pc.gov.uk,local
adlingtontowncouncil.gov.uk,local
admingtonparishcouncil.gov.uk,local
adstockparish.gov.uk,local
adur-worthing.gov.uk,local
adur.gov.uk,local
adurdc.gov.uk,local
aightonbaileyandchaigley-pc.gov.uk,local
ailsworth-pc.gov.uk,local
ainstable-pc.gov.uk,local
aintreevillageparishcouncil.gov.uk,local
aiskewleemingbar-pc.gov.uk,local
aislabyparishcouncil.gov.uk,local
akeleyparishcouncil.gov.uk,local
alberburywithcardestonparishcouncil.gov.uk,local
albourne-pc.gov.uk,local
albrightondonington-pc.gov.uk,local
albrightonparishcouncil.gov.uk,local
alburgh-pc.gov.uk,local
alburyparishcouncil.gov.uk,local
alcester-tc.gov.uk,local
alconburyparishcouncil.gov.uk,local
alconburyweston-pc.gov.uk,local
alcshropshire.gov.uk,local
aldboroughandthurgarton-pc.gov.uk,local
aldbourne-pc.gov.uk,local
aldbroughstjohnparishcouncil.gov.uk,local
aldburyparishcouncil.gov.uk,local
aldeburghtowncouncil.gov.uk,local
aldebyparishcouncil.gov.uk,local
aldenham-pc.gov.uk,local
alderburyparishcouncil.gov.uk,local
alderholtparishcouncil.gov.uk,local
alderleyedge-pc.gov.uk,local
aldermaston-pc.gov.uk,local
alderminster-pc.gov.uk,local
aldertonparishcouncil.gov.uk,local
aldertonsuffolk-pc.gov.uk,local
alderwasleyparishcouncil.gov.uk,local
aldfordandsaighton-pc.gov.uk,local
aldhamparishcouncil.gov.uk,local
