field,text
country_name,"none"
government_type,"parliamentary democracy under a constitutional monarchy; a Commonwealth realm"
capital,"Wellington"
chief_of_state,"King CHARLES III (since 8 September 2022); represented by Governor-General Dame Cindy KIRO (since 21 October 2021)"
head_of_government,"Prime Minister Christopher LUXON (since 27 November 2023)"
judicial_highest_courts,"Supreme Court (consists of 5 justices, including the chief justice)"
constitution_history,"New Zealand has no single constitution document; the Constitution Act 1986, effective 1 January 1987, includes only part of the uncodified constitution; others include a collection of statutes or ""acts of Parliament,"" the Treaty of Waitangi, Orders in Council, letters patent, court decisions, and unwritten conventions"
