domain,level,source,name
administracion.gob.es,central,manual,
ciencia.gob.es,central,manual,
congreso.es,central,manual,Congress of Deputies
consejo-estado.es,central,manual,
cultura.gob.es,central,manual,
defensa.gob.es,central,manual,
digital.gob.es,central,manual,
dsca.gob.es,central,manual,
educacionfpydeportes.gob.es,central,manual,
exteriores.gob.es,central,manual,
gob.es,central,manual,
hacienda.gob.es,central,manual,
igualdad.gob.es,central,manual,
inclusion.gob.es,central,manual,
interior.gob.es,central,manual,
juventudeinfancia.gob.es,central,manual,
lamoncloa.gob.es,central,manual,
mapa.gob.es,central,manual,
mapama.gob.es,central,manual,
mcu.es,central,manual,
mdsocialesa2030.gob.es,central,manual,
mineco.gob.es,central,manual,
minetad.gob.es,central,manual,
minhafp.gob.es,central,manual,
mintur.gob.es,central,manual,
miteco.gob.es,central,manual,
mites.gob.es,central,manual,
mitramiss.gob.es,central,manual,
mjusticia.gob.es,central,manual,
mpr.gob.es,central,manual,
mpt.gob.es,central,manual,
mptfp.gob.es,central,manual,
msssi.gob.es,central,manual,
sanidad.gob.es,central,manual,
senado.es,central,manual,Senate of Spain
transportes.gob.es,central,manual,
