hostname,score,sources,label,level,http_status,mx
asambleamadrid.es,7,wikidata;wikidata,Assembly of Madrid,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,100 asambleamadrid-es.mail.protection.outlook.com.
cabimer.es,7,wikidata;wikidata,Centro Andaluz de Biología Molecular y Medicina Regenerativa,,200,10 mx.csic.es.
caib.es,7,wikidata;wikidata,Govern Balear,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 mxb-00a20601.gslb.pphosted.com.; 5 mxa-00a20601.gslb.pphosted.com.
cantabria.es,7,wikidata;wikidata,Government of Cantabria,central-1,301,10 cantabria-es.mail.protection.outlook.com.
casareal.es,7,wikidata;wikidata,Royal Household Security Service | Royal Household of Spain,,302,1 mxa-0085c402.gslb.pphosted.com.; 2 mxb-0085c402.gslb.pphosted.com.
ccyl.es,7,wikidata;wikidata;wikidata;wikidata,Cortes of Castile-La Mancha | Cortes of Castile and León,central-1,ConnectException,10 ccyl-es-1.fortimailcloud.com.; 20 ccyl-es-2.fortimailcloud.com.
cial.uam-csic.es,7,wikidata;wikidata,Instituto de Investigación en Ciencias de la Alimentación,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx.csic.es.
ciemat.es,7,wikidata;wikidata,"Q93883381 | Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",,ConnectException,10 mxb-006a4e02.gslb.pphosted.com.; 10 mxa-006a4e02.gslb.pphosted.com.
cindi.gva.es,7,wikidata;wikidata,"Ministry of Sustainable Economy, Productive Sectors, Trade and Labour",central-1,HttpConnectTimeoutException: HTTP connect timed out,none
cjusticia.gva.es,7,wikidata;wikidata,Q121735330,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
cortesaragon.es,7,wikidata;wikidata,Aragonese Corts,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,100 cortesaragon-es.mail.protection.outlook.com.; 0 mxb-009b1e01.gslb.pphosted.com.; 0 mxa-009b1e01.gslb.pphosted.com.
