domain,level,name
administracion.gob.es,central,
ciencia.gob.es,central,
congreso.es,central,Congress of Deputies
consejo-estado.es,central,
cultura.gob.es,central,
defensa.gob.es,central,
digital.gob.es,central,
dsca.gob.es,central,
educacionfpydeportes.gob.es,central,
exteriores.gob.es,central,
gob.es,central,
hacienda.gob.es,central,
igualdad.gob.es,central,
inclusion.gob.es,central,
interior.gob.es,central,
juventudeinfancia.gob.es,central,
lamoncloa.gob.es,central,
mapa.gob.es,central,
mapama.gob.es,central,
mcu.es,central,
mdsocialesa2030.gob.es,central,
mineco.gob.es,central,
minetad.gob.es,central,
minhafp.gob.es,central,
mintur.gob.es,central,
miteco.gob.es,central,
mites.gob.es,central,
mitramiss.gob.es,central,
mjusticia.gob.es,central,
mpr.gob.es,central,
mpt.gob.es,central,
mptfp.gob.es,central,
msssi.gob.es,central,
sanidad.gob.es,central,
senado.es,central,Senate of Spain
transportes.gob.es,central,
