domain,name
barrackpore.gov.in,Barrackpore Sub-Division (West Bengal)
barrackpore1block.gov.in,Barrackpore-I Development Block (West Bengal)
bncmc.gov.in,Bhiwandi Nizampur City Municipal Corporation (Maharashtra)
cadc.gov.in,Chakma Autonomous District Council (Mizoram)
ccmc.gov.in,Coimbatore City Municipal Corporation (Tamil Nadu)
ccpur.gov.in,Churachandpur District (Manipur)
chennaicorporation.gov.in,Greater Chennai Corporation (Tamil Nadu)
dhulepolice.gov.in,Dhule District Police (Maharashtra)
gadchirolipolice.gov.in,Gadchiroli District Police (Maharashtra)
ghmc.gov.in,Greater Hyderabad Municipal Corporation (Telangana)
gvmc.gov.in,Greater Visakhapatnam Municipal Corporation (Andhra Pradesh)
hyderabadwater.gov.in,Hyderabad Metropolitan Water Supply and Sewerage Board (Telangana)
jalandhartrafficpolice.gov.in,Jalandhar Traffic Police (Punjab)
jalgaonpolice.gov.in,Jalgaon District Police (Maharashtra)
kdmc.gov.in,Kalyan Dombivli Municipal Corporation (Maharashtra)
kopargaonmc.gov.in,Kopargaon Municipal Council (Maharashtra)
mcgm.gov.in,Municipal Corporation of Greater Mumbai (Maharashtra)
nagpurgraminpolice.gov.in,Nagpur Rural Police (Maharashtra)
nashikruralpolice.gov.in,Nashik Rural Police (Maharashtra)
navimumbaipolice.gov.in,Navi Mumbai Police (Maharashtra)
ndmc.gov.in,New Delhi Municipal Council (Delhi)
nwcmc.gov.in,Nanded Waghala City Municipal Corporation (Maharashtra)
paschimmedinipur.gov.in,Paschim Medinipur District (West Bengal)
pcmcindia.gov.in,Pimpri Chinchwad Municipal Corporation (Maharashtra)
pmc.gov.in,Pune Municipal Corporation (Maharashtra)
puneruralpolice.gov.in,Pune Rural Police (Maharashtra)
ranaghat.gov.in,Ranaghat Sub-Division (West Bengal)
rmcegov.gov.in,Rajkot Municipal Corporation (Gujarat)
smc.gov.in,Surat Municipal Corporation (Gujarat)
sra.gov.in,Slum Rehabilitation Authority Mumbai (Maharashtra)
srapune.gov.in,Slum Rehabilitation Authority Pune (Maharashtra)
suratmunicipal.gov.in,Surat Municipal Corporation (Gujarat)
thanecity.gov.in,Thane Municipal Corporation (Maharashtra)
trichycorporation.gov.in,Tiruchirappalli City Corporation (Tamil Nadu)
vmc.gov.in,Vadodara Municipal Corporation (Gujarat)
vvmc.gov.in,Vasai Virar City Municipal Corporation (Maharashtra)
yavatmalpolice.gov.in,Yavatmal District Police (Maharashtra)
zpkolhapur.gov.in,Zilla Parishad Kolhapur (Maharashtra)
