country_dir,region,subregion,languages,currencies,population,gdp_per_capita,gdp_year
LBR_liberia,Africa,Western Africa,English,LRD,5248621,851,2024
LBY_libya,Africa,Northern Africa,Arabic,LYD,7459000,6449,2025
LCA_saint_lucia,Americas,Caribbean,English,XCD,184100,14182,2024
LIE_liechtenstein,Europe,Western Europe,German,CHF,40900,220167,2024
LKA_sri_lanka,Asia,Southern Asia,Sinhala; Tamil,LKR,21763170,5002,2025
LSO_lesotho,Africa,Southern Africa,English; Sotho,LSL; ZAR,2116427,1089,2025
LTU_lithuania,Europe,Northern Europe,Lithuanian,EUR,2894886,32959,2025
LUX_luxembourg,Europe,Western Europe,German; French; Luxembourgish,EUR,681973,147252,2025
LVA_latvia,Europe,Northern Europe,Latvian,EUR,1829000,26312,2025
MAR_morocco,Africa,Northern Africa,Arabic; Berber,MAD,36828330,4672,2025
MCO_monaco,Europe,Western Europe,French,EUR,38423,288002,2024
MDA_moldova,Europe,Eastern Europe,Romanian,MDL,2749076,8622,2025
MDG_madagascar,Africa,Eastern Africa,French; Malagasy,MGA,31727042,599,2025
MDV_maldives,Asia,Southern Asia,Maldivian,MVR,515132,14615,2025
MEX_mexico,Americas,North America,Spanish,MXN,130575786,13889,2025
MHL_marshall_islands,Oceania,Micronesia,English; Marshallese,USD,42418,8489,2025
MKD_north_macedonia,Europe,Southeast Europe,Macedonian,MKD,1822612,9292,2024
MLI_mali,Africa,Western Africa,French,XOF,22395489,1193,2025
MLT_malta,Europe,Southern Europe,English; Maltese,EUR,574250,47907,2025
MMR_myanmar,Asia,South-Eastern Asia,Burmese,MMK,51316756,1359,2024
MNE_montenegro,Europe,Southeast Europe,Montenegrin,EUR,623327,14817,2025
MNG_mongolia,Asia,Eastern Asia,Mongolian,MNT,3544835,6751,2024
MOZ_mozambique,Africa,Eastern Africa,Portuguese,MZN,34090466,627,2025
MRT_mauritania,Africa,Western Africa,Arabic,MRU,4927532,2198,2025
MUS_mauritius,Africa,Eastern Africa,English; French; Mauritian Creole,MUR,1243741,11991,2024
MWI_malawi,Africa,Eastern Africa,English; Chewa,MWK,20734262,672,2025
MYS_malaysia,Asia,South-Eastern Asia,English; Malay,MYR,34231700,13125,2025
NAM_namibia,Africa,Southern Africa,Lozi; Herero; Kwangali; German; English; Afrikaans; Khoekhoe; Ndonga; Tswana,NAD; ZAR,3022401,4876,2025
NER_niger,Africa,Western Africa,French,XOF,26312034,775,2025
NGA_nigeria,Africa,Western Africa,English,NGN,223800000,1084,2024
NIC_nicaragua,Americas,Central America,Spanish,NIO,6803886,3173,2025
NLD_netherlands,Europe,Western Europe,Dutch,EUR,18100436,67520,2024
NOR_norway,Europe,Northern Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,NOK,5606944,94594,2025
NPL_nepal,Asia,Southern Asia,Nepali,NPR,29911840,1447,2024
NRU_nauru,Oceania,Micronesia,English; Nauru,AUD,11680,13609,2024
NZL_new_zealand,Oceania,Australia and New Zealand,English; Māori; New Zealand Sign Language,NZD,5324700,49591,2025
OMN_oman,Asia,Western Asia,Arabic,OMR,5343630,19947,2025
PAK_pakistan,Asia,Southern Asia,English; Urdu,PKR,241499431,1596,2025
PAN_panama,Americas,Central America,Spanish,PAB; USD,4064780,19161,2024
PER_peru,Americas,South America,Aymara; Quechua; Spanish,PEN,34350244,8452,2024
PHL_philippines,Asia,South-Eastern Asia,English; Filipino,PHP,114123600,4171,2025
PLW_palau,Oceania,Micronesia,English; Palauan,USD,16733,19532,2025
PNG_papua_new_guinea,Oceania,Melanesia,English; Hiri Motu; Tok Pisin,PGK,11781559,3020,2025
POL_poland,Europe,Central Europe,Polish,PLN,37392000,28420,2025
PRK_north_korea,Asia,Eastern Asia,Korean,KPW,25950000,,
PRT_portugal,Europe,Southern Europe,Portuguese,EUR,10749635,29292,2024
PRY_paraguay,Americas,South America,Guaraní; Spanish,PYG,6109644,7027,2025
PSE_palestine,Asia,Western Asia,Arabic,EGP; ILS; JOD,5483450,3171,2025
QAT_qatar,Asia,Western Asia,Arabic,QAR,3173024,72525,2025
ROU_romania,Europe,Southeast Europe,Romanian,RON,19036031,22538,2025
RUS_russia,Europe,Eastern Europe,Russian,RUB,146028325,14889,2024
RWA_rwanda,Africa,Eastern Africa,English; French; Kinyarwanda,RWF,14104969,1124,2025
SAU_saudi_arabia,Asia,Western Asia,Arabic,SAR,35300280,34537,2025
SDN_sudan,Africa,Northern Africa,Arabic; English,SDG,51662000,1165,2025
SEN_senegal,Africa,Western Africa,French,XOF,18593258,1955,2025
SGP_singapore,Asia,South-Eastern Asia,English; Chinese; Malay; Tamil,SGD,6110200,98814,2025
SLB_solomon_islands,Oceania,Melanesia,English,SBD,750325,2086,2025
SLE_sierra_leone,Africa,Western Africa,English,SLE,9077691,846,2025
SLV_el_salvador,Americas,Central America,Spanish,USD,6029976,5580,2024
SMR_san_marino,Europe,Southern Europe,Italian,EUR,34132,59880,2023
SOM_somalia,Africa,Eastern Africa,Arabic; Somali,SOS,19655000,630,2024
SRB_serbia,Europe,Southeast Europe,Serbian,RSD,6567783,13679,2024
SSD_south_sudan,Africa,Middle Africa,English,SSP,15786898,1080,2015
STP_sao_tome_and_principe,Africa,Middle Africa,Portuguese,STN,209607,3491,2024
SUR_suriname,Americas,South America,Dutch,SRD,616500,6962,2024
SVK_slovakia,Europe,Central Europe,Slovak,EUR,5413813,25993,2024
SVN_slovenia,Europe,Central Europe,Slovene,EUR,2130638,34301,2024
SWE_sweden,Europe,Northern Europe,Swedish,SEK,10605098,63133,2025
SWZ_eswatini,Africa,Southern Africa,English; Swazi,SZL; ZAR,1235549,3910,2024
SYC_seychelles,Africa,Eastern Africa,Seychellois Creole; English; French,SCR,122729,19449,2025
SYR_syria,Asia,Western Asia,Arabic,SYP,25620000,1057,2022
TCD_chad,Africa,Middle Africa,Arabic; French,XAF,19340757,962,2024
TGO_togo,Africa,Western Africa,French,XOF,8095498,1119,2024
THA_thailand,Asia,South-Eastern Asia,Thai,THB,65859640,8057,2025
TJK_tajikistan,Asia,Central Asia,Russian; Tajik,TJS,10499000,1341,2024
TKM_turkmenistan,Asia,Central Asia,Russian; Turkmen,TMT,7057841,6857,2024
TLS_timor_leste,Asia,South-Eastern Asia,Portuguese; Tetum,USD,1391221,1332,2024
TON_tonga,Oceania,Polynesia,English; Tongan,TOP,100179,6547,2025
TTO_trinidad_and_tobago,Americas,Caribbean,English,TTD,1367764,18733,2024
TUN_tunisia,Africa,Northern Africa,Arabic,TND,11972169,4181,2024
TUR_turkey,Asia,Western Asia,Turkish,TRY,85664944,15893,2024
TUV_tuvalu,Oceania,Polynesia,English; Tuvaluan,AUD; TVD,10643,6345,2023
TWN_taiwan,Asia,Eastern Asia,Chinese,TWD,23317031,,
TZA_tanzania,Africa,Eastern Africa,English; Swahili,TZS,68153004,1319,2025
UGA_uganda,Africa,Eastern Africa,English; Swahili,UGX,45905417,1078,2024
UKR_ukraine,Europe,Eastern Europe,Ukrainian,UAH,32862000,5389,2024
URY_uruguay,Americas,South America,Spanish,UYU,3499451,23907,2024
USA_united_states,Americas,North America,English,USD,340110988,84534,2024
UZB_uzbekistan,Asia,Central Asia,Russian; Uzbek,UZS,37859698,3968,2025
VAT_holy_see,Europe,Southern Europe,Italian; Latin,EUR,882,,
VCT_saint_vincent_and_the_grenadines,Americas,Caribbean,English,XCD,110872,11501,2024
VEN_venezuela,Americas,South America,Spanish,VES,28517000,4218,2024
VNM_vietnam,Asia,South-Eastern Asia,Vietnamese,VND,101343800,4717,2024
VUT_vanuatu,Oceania,Melanesia,Bislama; English; French,VUV,321409,4039,2025
WSM_samoa,Oceania,Polynesia,English; Samoan,WST,205557,5873,2025
XKS_kosovo,,,,,,,
YEM_yemen,Asia,Western Asia,Arabic,YER,32684503,634,2018
ZAF_south_africa,Africa,Southern Africa,Xhosa; Southern Sotho; Tsonga; Southern Ndebele; Venda; Swazi; English; Afrikaans; Northern Sotho; Zulu; Tswana,ZAR,63100945,6267,2024
ZMB_zambia,Africa,Eastern Africa,English,ZMW,19693423,1187,2024
ZWE_zimbabwe,Africa,Southern Africa,Chibarwe; Xhosa; Shona; Sotho; Ndau; Tsonga; Venda; Kalanga; English; Khoisan; Tonga; Chewa; Zimbabwean Sign Language; Tswana; Northern Ndebele,ZWL,17073087,2497,2024
