country_dir,region,subregion,languages,currencies,population,gdp_per_capita,gdp_year
AFG_afghanistan,Asia,Southern Asia,Dari; Pashto; Turkmen,AFN,43844000,417,2024
AGO_angola,Africa,Middle Africa,Portuguese,AOA,36170961,3129,2025
ALB_albania,Europe,Southeast Europe,Albanian,ALL,2363314,12998,2025
AND_andorra,Europe,Southern Europe,Catalan,EUR,88406,54292,2025
ARE_united_arab_emirates,Asia,Western Asia,Arabic,AED,11294243,50274,2024
ARG_argentina,Americas,South America,Guaraní; Spanish,ARS,46735004,13970,2024
ARM_armenia,Asia,Western Asia,Armenian,AMD,3076200,8556,2024
ATG_antigua_and_barbuda,Americas,Caribbean,English,XCD,103603,24819,2025
AUS_australia,Oceania,Australia and New Zealand,English,AUD,27536874,65130,2025
AUT_austria,Europe,Central Europe,German,EUR,9200931,62930,2025
AZE_azerbaijan,Asia,Western Asia,Azerbaijani,AZN,10241722,7411,2025
BDI_burundi,Africa,Eastern Africa,French; Kirundi,BIF,12332788,234,2025
BEL_belgium,Europe,Western Europe,German; French; Dutch,EUR,11825551,60750,2025
BEN_benin,Africa,Western Africa,French,XOF,13224860,1658,2025
BFA_burkina_faso,Africa,Western Africa,French,XOF,24070553,1148,2025
BGD_bangladesh,Asia,Southern Asia,Bengali,BDT,169828911,2597,2025
BGR_bulgaria,Europe,Southeast Europe,Bulgarian,BGN,6437360,20328,2025
BHR_bahrain,Asia,Western Asia,Arabic,BHD,1594654,30597,2025
BHS_bahamas,Americas,Caribbean,English,BSD; USD,398165,39455,2024
BIH_bosnia_and_herzegovina,Europe,Southeast Europe,Bosnian; Croatian; Serbian,BAM,3422000,10382,2025
BLR_belarus,Europe,Eastern Europe,Belarusian; Russian,BYN,9109280,10279,2025
BLZ_belize,Americas,Central America,Belizean Creole; English; Spanish,BZD,417634,7865,2025
BOL_bolivia,Americas,South America,Aymara; Guaraní; Quechua; Spanish,BOB,11365333,5148,2025
BRA_brazil,Americas,South America,Portuguese,BRL,213421037,10713,2025
BRB_barbados,Americas,Caribbean,English,BBD,267800,28365,2025
BRN_brunei,Asia,South-Eastern Asia,Malay,BND; SGD,455500,32235,2025
BTN_bhutan,Asia,Southern Asia,Dzongkha,BTN; INR,784043,3831,2023
BWA_botswana,Africa,Southern Africa,English; Tswana,BWP,2359609,7778,2025
CAF_central_african_republic,Africa,Middle Africa,French; Sango,XAF,6470307,556,2025
CAN_canada,Americas,North America,English; French,CAD,41651653,55698,2025
CHE_switzerland,Europe,Western Europe,French; Swiss German; Italian; Romansh,CHF,9082848,114769,2025
CHL_chile,Americas,South America,Spanish,CLP,20206953,17995,2025
CHN_china,Asia,Eastern Asia,Chinese,CNY,1408280000,13862,2025
CIV_cote_d_ivoire,Africa,Western Africa,French,XOF,31719275,3050,2025
CMR_cameroon,Africa,Middle Africa,English; French,XAF,29442327,1972,2025
COD_democratic_republic_of_the_congo,Africa,Middle Africa,French; Kikongo; Lingala; Tshiluba; Swahili,CDF,112832000,807,2025
COG_republic_of_the_congo,Africa,Middle Africa,French; Kikongo; Lingala,XAF,6142180,2515,2025
COL_colombia,Americas,South America,Spanish,COP,53057212,8562,2025
COM_comoros,Africa,Eastern Africa,Arabic; French; Comorian,KMF,919901,2056,2025
CPV_cape_verde,Africa,Western Africa,Portuguese,CVE,491233,5796,2025
CRI_costa_rica,Americas,Central America,Spanish,CRC,5309625,19970,2025
CUB_cuba,Americas,Caribbean,Spanish,CUC; CUP,9748007,9605,2020
CYP_cyprus,Europe,Southern Europe,Greek; Turkish,EUR,1442614,41783,2025
CZE_czechia,Europe,Central Europe,Czech; Slovak,CZK,10882341,35917,2025
DEU_germany,Europe,Western Europe,German,EUR,83491249,60496,2025
DJI_djibouti,Africa,Eastern Africa,Arabic; French,DJF,1066809,3906,2025
DMA_dominica,Americas,Caribbean,English,XCD,67408,10989,2025
DNK_denmark,Europe,Northern Europe,Danish,DKK,6011488,76970,2025
DOM_dominican_republic,Americas,Caribbean,Spanish,DOP,10771504,11059,2025
DZA_algeria,Africa,Northern Africa,Arabic,DZD,47400000,6051,2025
ECU_ecuador,Americas,South America,Spanish,USD,18103660,7125,2025
EGY_egypt,Africa,Northern Africa,Arabic,EGP,107271260,3086,2025
ERI_eritrea,Africa,Eastern Africa,Arabic; English; Tigrinya,ERN,3607000,689,2011
ESP_spain,Europe,Southern Europe,Spanish; Catalan; Basque; Galician,EUR,49315949,38627,2025
EST_estonia,Europe,Northern Europe,Estonian,EUR,1369995,34418,2025
ETH_ethiopia,Africa,Eastern Africa,Amharic,ETB,111652998,933,2025
FIN_finland,Europe,Northern Europe,Finnish; Swedish,EUR,5650325,56149,2025
FJI_fiji,Oceania,Melanesia,English; Fijian; Fiji Hindi,FJD,900869,6642,2025
FRA_france,Europe,Western Europe,French,EUR,66351959,48986,2025
FSM_micronesia,Oceania,Micronesia,English,USD,105564,4414,2025
GAB_gabon,Africa,Middle Africa,French,XAF,2469296,8263,2025
GBR_united_kingdom,Europe,Northern Europe,English,GBP,69281437,57602,2025
GEO_georgia,Asia,Western Asia,Georgian,GEL,4000921,9692,2025
GHA_ghana,Africa,Western Africa,English,GHS,33742380,3257,2025
GIN_guinea,Africa,Western Africa,French,GNF,14363931,1877,2025
GMB_gambia,Africa,Western Africa,English,GMD,2422712,919,2025
GNB_guinea_bissau,Africa,Western Africa,Portuguese; Upper Guinea Creole,XOF,1781308,1124,2025
GNQ_equatorial_guinea,Africa,Middle Africa,French; Portuguese; Spanish,XAF,1668768,6615,2025
GRC_greece,Europe,Southern Europe,Greek,EUR,10400720,26948,2025
GRD_grenada,Americas,Caribbean,English,XCD,109021,12107,2025
GTM_guatemala,Americas,Central America,Spanish,GTQ,18079810,6598,2025
GUY_guyana,Americas,South America,English,GYD,772975,32414,2025
HND_honduras,Americas,Central America,Spanish,HNL,9892632,3598,2025
HRV_croatia,Europe,Southeast Europe,Croatian,EUR,3866233,27104,2025
HTI_haiti,Americas,Caribbean,French; Haitian Creole,HTG,11867032,2694,2025
HUN_hungary,Europe,Central Europe,Hungarian,HUF,9539502,25907,2025
IDN_indonesia,Asia,South-Eastern Asia,Indonesian,IDR,284438782,5060,2025
IND_india,Asia,Southern Asia,English; Hindi; Tamil,INR,1417492000,2695,2024
IRL_ireland,Europe,Northern Europe,English; Irish,EUR,5458600,112895,2024
IRN_iran,Asia,Southern Asia,Persian (Farsi),IRR,85961000,3924,2025
IRQ_iraq,Asia,Western Asia,Arabic; Aramaic; Sorani,IQD,46118793,5410,2025
ISL_iceland,Europe,Northern Europe,Icelandic,ISK,391810,98323,2025
ISR_israel,Asia,Western Asia,Arabic; Hebrew,ILS,10134800,60337,2025
ITA_italy,Europe,Southern Europe,Italian; Catalan,EUR,58927633,43309,2025
JAM_jamaica,Americas,Caribbean,English; Jamaican Patois,JMD,2825544,7754,2024
JOR_jordan,Asia,Western Asia,Arabic,JOD,11734000,5348,2025
JPN_japan,Asia,Eastern Asia,Japanese,JPY,123210000,32487,2024
KAZ_kazakhstan,Asia,Central Asia,Kazakh; Russian,KZT,20426568,14692,2025
KEN_kenya,Africa,Eastern Africa,English; Swahili,KES,53330978,2363,2025
KGZ_kyrgyzstan,Asia,Central Asia,Kyrgyz; Russian,KGS,7281800,2420,2024
KHM_cambodia,Asia,South-Eastern Asia,Khmer,KHR; USD,17577760,2872,2025
KIR_kiribati,Oceania,Micronesia,English; Gilbertese,AUD; KID,120740,2559,2025
KNA_saint_kitts_and_nevis,Americas,Caribbean,English,XCD,51320,23961,2024
KOR_south_korea,Asia,Eastern Asia,Korean,KRW,51159889,36239,2024
KWT_kuwait,Asia,Western Asia,Arabic,KWD,4881254,32312,2025
LAO_laos,Asia,South-Eastern Asia,Lao,LAK,7647000,2325,2025
LBN_lebanon,Asia,Western Asia,Arabic; French,LBP,5490000,4473,2024
