qid,label
Q161808,Cherkasy Oblast
Q163271,Kherson Oblast
Q164193,Lviv Oblast
Q166709,Vinnytsia Oblast
Q167859,Volyn Oblast
Q167874,Chernihiv Oblast
Q168856,Chernivtsi Oblast
Q169501,Poltava Oblast
Q170036,Kyiv Oblast
Q170213,Zakarpattia Oblast
Q170446,Sumy Oblast
Q170666,Kharkiv Oblast
Q170672,Dnipropetrovsk Oblast
Q171331,Khmelnytskyi Oblast
Q171334,Zaporizhzhia Oblast
Q171852,Odesa Oblast
Q171965,Luhansk Oblast
Q173407,Ternopil Oblast
Q174187,Rivne Oblast
Q178269,Ivano-Frankivsk Oblast
Q180981,Kirovohrad Oblast
Q181633,Mykolaiv Oblast
Q1899,Kyiv
Q2012050,Donetsk Oblast
Q40637,Zhytomyr Oblast
Q7525,Sevastopol
Q756294,Autonomous Republic of Crimea
