field,text
country_name,"Republic of Suriname"
government_type,"presidential republic"
capital,"Paramaribo"
chief_of_state,"President Jennifer GEERLINGS-SIMONS (since 16 July 2025)"
head_of_government,"President Jennifer GEERLINGS-SIMONS (since 16 July 2025)"
judicial_highest_courts,"High Court of Justice of Suriname (consists of the court president, vice president, and 4 judges)"
constitution_history,"previous 1975; latest ratified 30 September 1987, effective 30 October 1987"
