hostname,score,sources,label,level
aberdeenwa.gov,8,wikidata;wikidata,Aberdeen,
abilityone.gov,8,wikidata;wikidata,"U.S. AbilityOne Commission | Office of Inspector General, Committee for Purchase From People Who Are Blind or Severely Disabled",central
abingdon-va.gov,8,wikidata;wikidata,Abingdon,
abingtonma.gov,8,wikidata;wikidata,Abington,
abseconnj.gov,8,wikidata;wikidata,Absecon,
acl.gov,8,wikidata;wikidata,"Administration for Community Living | National Institute on Disability, Independent Living, and Rehabilitation Research",
acton-ma.gov,8,wikidata;wikidata,Acton,
adamn.gov,8,wikidata;wikidata,Ada,
addisontx.gov,8,wikidata;wikidata,Addison,
alamoheightstx.gov,8,wikidata;wikidata,Alamo Heights,
albanyga.gov,8,wikidata;wikidata,Albany,
albanyny.gov,8,wikidata;wikidata,Albany,
algonaiowa.gov,8,wikidata;wikidata,Algona,
algonawa.gov,8,wikidata;wikidata,Algona,
aliquippapa.gov,8,wikidata;wikidata,Aliquippa,
allendalenj.gov,8,wikidata;wikidata,Allendale,
allenstownnh.gov,8,wikidata;wikidata,Allenstown,
allentownpa.gov,8,wikidata;wikidata,Allentown,
alna.maine.gov,8,wikidata;wikidata,Alna,
alpinecountyca.gov,8,wikidata;wikidata,Alpine County Sheriff's Office | Alpine County District Attorney's Office,
alton-tx.gov,8,wikidata;wikidata,Alton,
alton.nh.gov,8,wikidata;wikidata,Alton,
altoonapa.gov,8,wikidata;wikidata,Altoona,
altusok.gov,8,wikidata;wikidata,Altus,
alvin-tx.gov,8,wikidata;wikidata,Alvin,
amarillo.gov,8,wikidata;wikidata,Amarillo,
ameniany.gov,8,wikidata;wikidata,Amenia,
americorps.gov,8,wikidata;wikidata,AmeriCorps | AmeriCorps Seniors,central
amesburyma.gov,8,wikidata;wikidata,Amesbury,
amherstnh.gov,8,wikidata;wikidata,Amherst,
amherstva.gov,8,wikidata;wikidata,Amherst,
ams.usda.gov,8,wikidata;wikidata;wikidata,Federal Grain Inspection Service | Plant Variety Protection Office | Agricultural Marketing Service,central
amsterdamny.gov,8,wikidata;wikidata,Amsterdam,
andalusiaal.gov,8,wikidata;wikidata,Andalusia,
andersontx.gov,8,wikidata;wikidata,Anderson,
andover-nh.gov,8,wikidata;wikidata,Andover,
andoverma.gov,8,wikidata;wikidata,Andover,
andovermn.gov,8,wikidata;wikidata,Andover,
ankenyiowa.gov,8,wikidata;wikidata,Ankeny,
annapolis.gov,8,wikidata;wikidata,Annapolis,
annatexas.gov,8,wikidata;wikidata,Anna,
annistonal.gov,8,wikidata;wikidata,Anniston,
antioch.il.gov,8,wikidata;wikidata,Antioch,
aoc.gov,8,wikidata;wikidata,Office of Congressional Accessibility Services | Architect of the Capitol,central
apachejunctionaz.gov,8,wikidata;wikidata,Apache Junction,
aphis.usda.gov,8,wikidata;wikidata;wikidata,Wildlife Services | National Wildlife Research Center | National Veterinary Services Laboratory,
appleton.maine.gov,8,wikidata;wikidata,Appleton,
aquinnah-ma.gov,8,wikidata;wikidata,Aquinnah,
aransaspasstx.gov,8,wikidata;wikidata,Aransas Pass,
arcadia-fl.gov,8,wikidata;wikidata,Arcadia,
archdale-nc.gov,8,wikidata;wikidata,Archdale,
archives.gov,8,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Information Security Oversight Office | Office of the Federal Register | National Archives Office of Inspector General | Center for Legislative Archives | Office of Government Information Services | National Archives Federal Records Center | National Archives and Records Administration | National Historical Publications and Records Commission | National Archives at College Park,central
arkansascityks.gov,8,wikidata;wikidata,Arkansas City,
arlingtonma.gov,8,wikidata;wikidata,Arlington,
arlingtonwa.gov,8,wikidata;wikidata,Arlington,
artesianm.gov,8,wikidata;wikidata,Artesia,
ashburnham-ma.gov,8,wikidata;wikidata,Ashburnham,
ashevillenc.gov,8,wikidata;wikidata,Asheville,
ashgrovemo.gov,8,wikidata;wikidata,Ash Grove,
ashland.nh.gov,8,wikidata;wikidata,Ashland,
ashlandoregon.gov,8,wikidata;wikidata,Ashland,
ashlandva.gov,8,wikidata;wikidata,Ashland,
ashley.in.gov,8,wikidata;wikidata,Ashley,
athol-ma.gov,8,wikidata;wikidata,Athol,
atlantisfl.gov,8,wikidata;wikidata,Atlantis,
attica-in.gov,8,wikidata;wikidata,Attica,
auburn.ne.gov,8,wikidata;wikidata,Auburn,
auburnma.gov,8,wikidata;wikidata,Auburn,
augustaga.gov,8,wikidata;wikidata,Augusta,
augustamaine.gov,8,wikidata;wikidata,Augusta,
auroratexas.gov,8,wikidata;wikidata,Aurora,
austellga.gov,8,wikidata;wikidata,Austell,
aztecnm.gov,8,wikidata;wikidata,Aztec,
bainbridgewa.gov,8,wikidata;wikidata,Bainbridge Island,
baltimorecity.gov,8,wikidata;wikidata,Baltimore,
bangormaine.gov,8,wikidata;wikidata,Bangor,
barrington.nh.gov,8,wikidata;wikidata,Barrington,
barringtonhills-il.gov,8,wikidata;wikidata,Barrington Hills,
battlecreekmi.gov,8,wikidata;wikidata,Battle Creek,
battleground.in.gov,8,wikidata;wikidata,Battle Ground,
baycitymi.gov,8,wikidata;wikidata,Bay City,
beachhaven-nj.gov,8,wikidata;wikidata,Beach Haven,
beatrice.ne.gov,8,wikidata;wikidata,Beatrice,
beaumonttexas.gov,8,wikidata;wikidata,Beaumont,
beauxarts-wa.gov,8,wikidata;wikidata,Beaux Arts Village,
beavertonoregon.gov,8,wikidata;wikidata,Beaverton,
beckemeyeril.gov,8,wikidata;wikidata,Beckemeyer,
bedfordheights.gov,8,wikidata;wikidata,Bedford Heights,
bedfordny.gov,8,wikidata;wikidata,Bedford,
bedfordoh.gov,8,wikidata;wikidata,Bedford,
bedfordtx.gov,8,wikidata;wikidata,Bedford,
bedfordva.gov,8,wikidata;wikidata,Bedford,
belaireks.gov,8,wikidata;wikidata,Bel Aire,
belen-nm.gov,8,wikidata;wikidata,Belen,
bellefonte.ky.gov,8,wikidata;wikidata,Bellefonte,
beloitwi.gov,8,wikidata;wikidata,Beloit,
benton.ar.gov,8,wikidata;wikidata,Benton,
bereaky.gov,8,wikidata;wikidata,Berea,
berkleymi.gov,8,wikidata;wikidata,Berkley,
berlinnh.gov,8,wikidata;wikidata,Berlin,
berlinvt.gov,8,wikidata;wikidata,Berlin,
bermudarun.gov,8,wikidata;wikidata,Bermuda Run,
berryvilleva.gov,8,wikidata;wikidata,Berryville,
berwyn-il.gov,8,wikidata;wikidata,Berwyn,
bethel-ct.gov,8,wikidata;wikidata,Bethel,
bethlehem-pa.gov,8,wikidata;wikidata,Bethlehem,
beverlyma.gov,8,wikidata;wikidata,Beverly,
biggs-ca.gov,8,wikidata;wikidata,Biggs,
billingsmt.gov,8,wikidata;wikidata,Billings,
binghamton-ny.gov,8,wikidata;wikidata,Binghamton Police Department | Binghamton Fire Department,
birminghamal.gov,8,wikidata;wikidata,Birmingham,
bis.doc.gov,8,wikidata;wikidata,Office of Export Enforcement | Bureau of Industry and Security,central
bismarcknd.gov,8,wikidata;wikidata,Bismarck,
blacksburg.gov,8,wikidata;wikidata,Blacksburg,
bladensburgmd.gov,8,wikidata;wikidata,Bladensburg,
blades.delaware.gov,8,wikidata;wikidata,Blades,
blainetn.gov,8,wikidata;wikidata,Blaine,
blairsville-ga.gov,8,wikidata;wikidata,Blairsville,
bloomington.in.gov,8,wikidata;wikidata,Bloomington,
bloomingtonmn.gov,8,wikidata;wikidata,Bloomington,
bluelake.ca.gov,8,wikidata;wikidata,Blue Lake,
bluffdale.gov,8,wikidata;wikidata,Bluffdale,
booneville-ms.gov,8,wikidata;wikidata,Booneville,
bothellwa.gov,8,wikidata;wikidata,Bothell,
boulder.utah.gov,8,wikidata;wikidata,Boulder,
bountifulutah.gov,8,wikidata;wikidata,Bountiful,
bourbon-in.gov,8,wikidata;wikidata,Bourbon,
bowlinggreen-mo.gov,8,wikidata;wikidata,Bowling Green,
bowmar.gov,8,wikidata;wikidata,Bow Mar,
boylston-ma.gov,8,wikidata;wikidata,Boylston,
bradleybeachnj.gov,8,wikidata;wikidata,Bradley Beach,
braintreema.gov,8,wikidata;wikidata,Braintree,
branchville.sc.gov,8,wikidata;wikidata,Branchville,
branford-ct.gov,8,wikidata;wikidata,Branford,
brazil.in.gov,8,wikidata;wikidata,Brazil,
bremenga.gov,8,wikidata;wikidata,Bremen,
bremertonwa.gov,8,wikidata;wikidata,Bremerton,
brentwoodmd.gov,8,wikidata;wikidata,Brentwood,
brentwoodnh.gov,8,wikidata;wikidata,Brentwood,
brianheadtown.utah.gov,8,wikidata;wikidata,Brian Head,
bridgeville.delaware.gov,8,wikidata;wikidata,Bridgeville,
bridgewater-ct.gov,8,wikidata;wikidata,Bridgewater,
bridgewater.vt.gov,8,wikidata;wikidata,Bridgewater,
brighamcity.utah.gov,8,wikidata;wikidata,Brigham City,
brightonco.gov,8,wikidata;wikidata,Brighton,
bristolri.gov,8,wikidata;wikidata,Bristol,
broadview-il.gov,8,wikidata;wikidata,Broadview,
brokenarrowok.gov,8,wikidata;wikidata,Broken Arrow,
bronxboropres.nyc.gov,8,wikidata;wikidata,The Bronx,
brookfieldct.gov,8,wikidata;wikidata,Brookfield,
brookfieldil.gov,8,wikidata;wikidata,Brookfield,
brookhavenga.gov,8,wikidata;wikidata,Brookhaven,
brookhavenny.gov,8,wikidata;wikidata,Brookhaven,
brooklinema.gov,8,wikidata;wikidata,Brookline,
brooklynbp.nyc.gov,8,wikidata;wikidata,Brooklyn,
brooklynohio.gov,8,wikidata;wikidata,Brooklyn,
brookshiretx.gov,8,wikidata;wikidata,Brookshire,
brunson.sc.gov,8,wikidata;wikidata,Brunson,
brunswickmd.gov,8,wikidata;wikidata,Brunswick,
brysoncitync.gov,8,wikidata;wikidata,Bryson City,
