subdomain,mx
imap2.posta.sigov.si,none
imap3.posta.sigov.si,none
imap4.posta.sigov.si,none
imap5.posta.sigov.si,none
imap6.posta.sigov.si,none
imap7.posta.sigov.si,none
imap8.posta.sigov.si,none
imap9.posta.sigov.si,none
imv-mop-test.gov.si,none
imv-mop.gov.si,none
intra.gov.si,none
intranet-test.mzz.gov.si,none
intranet.mzz.gov.si,none
intrastat-surs.gov.si,none
ipi.eprostor.gov.si,none
ised.gov.si,none
isk.gov.si,none
isl.gov.si,none
ismonitoring-test.arso.gov.si,none
ismonitoring.arso.gov.si,none
isvzd.mddsz.gov.si,none
iv-test.mop.gov.si,none
iv.mop.gov.si,none
iza.ess.gov.si,none
izrabljena.vozila.gov.si,none
jep-sola.gov.si,none
jep-test.gov.si,none
jep.gov.si,none
jodp.mf.gov.si,none
kadri-test.mnz.gov.si,none
kadri.mnz.gov.si,none
kataster.eprostor-sola.gov.si,none
kataster.eprostor-test.gov.si,none
kataster.eprostor.gov.si,none
kazalci.arso.gov.si,none
kos-test.arso.gov.si,none
kos.arso.gov.si,none
krimlb.arso.gov.si,none
krpan-csd.gov.si,none
krpan-ue.gov.si,none
krpan.gov.si,none
kvote-curs.gov.si,none
login.muza.gov.si,none
mail.ess.gov.si,none
mail.gov.si,none
mail1.gov.si,none
mail1m.gov.si,none
mail2.gov.si,none
mail3.gov.si,none
mail4.gov.si,none
manager-cixp-si.gov.si,none
manager-cixpstag-si.gov.si,none
meet.ess.gov.si,none
merkur.mkgp.gov.si,none
meteo.arso.gov.si,none
mfauth.gov.si,none
mferac.gov.si,none
migra-test.mnz.gov.si,none
migra.mnz.gov.si,none
miniblagajna-test.fu.gov.si,none
miniblagajna.fu.gov.si,none
mirs-info.gov.si,none
mju.gov.si,none
mkgp-crc.mkgp.gov.si,none
mkgptraveler.mkgp.gov.si,none
mksid.ursjv.gov.si,none
mmz-sen.mzz.gov.si,none
mobile.mzz.gov.si,none
moja.e-kmetija.gov.si,none
mojintra.gov.si,none
mokrclb.arso.gov.si,none
mope.dovoljenja.gov.si,none
moped-plus.gov.si,none
mp.gov.si,none
mrcc-test.up.gov.si,none
mrcc.up.gov.si,none
msc.arso.gov.si,none
muza.gov.si,none
mvn.e-prostor.gov.si,none
mztraveler.mz.gov.si,none
mzz-ass.mzz.gov.si,none
mzz-mdm.mzz.gov.si,none
mzz-mdm.mzz.mzz.gov.si,none
mzz-mobile.mzz.gov.si,none
mzz-sen.mzz.gov.si,none
mzz.gov.si,none
narava.arso.gov.si,none
narcis.gov.si,none
narcisdis.arso.gov.si,none
narcispro.arso.gov.si,none
natura2000.gov.si,none
navodila.ema.arr.gov.si,none
neo-test.gov.si,none
neo.gov.si,none
nerdcp-test.gov.si,none
nerdcp.gov.si,none
nio.gov.si,none
nm-sola.gov.si,none
nm.gov.si,none
obravnave.mp.gov.si,none
oddo.gov.si,none
odlozisce.ujp.gov.si,none
odpadki.arso.gov.si,none
odprtipodatki.gov.si,none
okolje.arso.gov.si,none
opsi.gov.si,none
ovn.gu.gov.si,none
ovn.gurs.sigov.si,none
owa.ess.gov.si,none
owa.gov.si,none
owadwn.gov.si,none
paka3.mszs.sigov.si,none
pdc-test.gov.si,none
pelagus.up.gov.si,none
peps.mju.gov.si,none
pgc.gov.si,none
pgc.sigov.si,none
pgc2.gov.si,none
pgc2.sigov.si,none
pgc3.gov.si,none
pgc4.gov.si,none
pgc4.sigov.si,none
pgc5.gov.si,none
pgc5.sigov.si,none
pgc6.gov.si,none
pis.eprostor.gov.si,none
podatki.gov.si,none
podatkovnasoba.gov.si,none
podpora.ema.arr.gov.si,none
podpora.gov.si,none
podpora.sigov.si,none
porocanje.surs.gov.si,none
portal-sola.evs.gov.si,none
portal.evs.gov.si,none
portal.mzz.gov.si,none
posta.gov.si,none
posta.svez.gov.si,none
potential.jep.gov.si,none
potresi-be-test.arso.gov.si,none
potresi-be.arso.gov.si,none
potresi-test.arso.gov.si,none
potresi.arso.gov.si,none
potresnik-test.arso.gov.si,none
potresnik.arso.gov.si,none
pravosodni-supervisor.mp.gov.si,none
pravosodni-supervizor.mp.gov.si,none
predlagamvladi.gov.si,none
pregled.arsktrp.gov.si,none
prekrskovniorgan.mop.gov.si,none
prenos.mm.gov.si,none
presojaucinkov.gov.si,none
preveriracun.fu.gov.si,none
prijava-test.arso.gov.si,none
prijava.arso.gov.si,none
probis.gov.si,none
projekt.e-prostor.gov.si,none
proracun.gov.si,none
prostor-s.gov.si,none
prostor.gov.si,none
prostor.zgs.gov.si,none
prostor2.gov.si,none
prostor3.gov.si,none
prostor3.sigov.si,none
prostor4.gov.si,none
prostor6.gu.gov.si,none
ps.mp.gov.si,none
raba.gu.gov.si,none
rafo-test.ca.sigov.si,none
remk.ekultura.gov.si,none
revoked.si-trust.gov.si,none
rkg.gov.si,none
rmsn-sola.ekultura.gov.si,none
rmsn-test.ekultura.gov.si,none
rmsn-test.ekultura.sigov.si,none
rmsn.ekultura.gov.si,none
rp.arso.gov.si,none
rtes.arso.gov.si,none
s-kzg.gov.si,none
sa.gov.si,none
sa2.gov.si,none
sark-test.ekultura.gov.si,none
sark.ekultura.gov.si,none
sdi.eprostor.gov.si,none
server1.isl.gov.si,none
server2.isl.gov.si,none
server3.isl.gov.si,none
services.espatial.gov.si,none
sg.curs.gov.si,none
si-trust.gov.si,none
sicas-admin-test.sigov.si,none
sicas-mobile.gov.si,none
sicas-test.sigov.si,none
sicas-vs.gov.si,none
sicas-x509-high.gov.si,none
sicas-x509-low.gov.si,none
sicas-x509-test.sigov.si,none
sicas-x509.gov.si,none
sicas-x509si-test.sigov.si,none
sicas-x509si.gov.si,none
sicas.gov.si,none
sicep.gov.si,none
sicev.gov.si,none
sicis-test2.curs.sigov.si,none
sicis2.curs.sigov.si,none
sicisws-test2.curs.sigov.si,none
sicisws2.curs.sigov.si,none
sigov-ca.gov.si,none
sigov3.sigov.si,none
sip.ess.gov.si,none
sipass.gov.si,none
sipeps-pprod.gov.si,none
sipeps-test.gov.si,none
sipeps-test.sigov.si,none
sipeps.gov.si,none
sirena.arso.gov.si,none
situla.gov.si,none
siut.gov.si,none
sjas.gov.si,none
skrinja.gov.si,none
smtp.gov.si,none
smtp1.posta.sigov.si,none
smtp1m.posta.sigov.si,none
smtp2.posta.sigov.si,none
sola.gov.si,none
sovd-prenos.gov.si,none
sovd-test.gov.si,none
sovd.gov.si,none
spec.jep.gov.si,none
spletni-dostop.gov.si,none
spot.gov.si,none
spps.durs.gov.si,none
ssn.up.gov.si,none
stcw-test.up.gov.si,none
stcw.up.gov.si,none
stopbirokraciji.gov.si,none
storitve-ca.gov.si,none
storitve-curs.gov.si,none
storitve-mkgp.gov.si,none
storitve-test.ecarina.fu.gov.si,none
storitve.ecarina.fu.gov.si,none
storitve.eprostor.gov.si,none
storitve.pis.gov.si,none
