domain,name
abertawe.gov.uk,Swansea Council (Welsh name)
abingdon.gov.uk,Abingdon Town Council
agma.gov.uk,Association of Greater Manchester Authorities
alg.gov.uk,Association of London Government
alvechurch.gov.uk,Alvechurch Parish Council
amble.gov.uk,Amble Town Council
angliarevenues.gov.uk,Anglia Revenues Partnership (district councils)
anston.gov.uk,Anston Parish Council
antrim.gov.uk,Antrim and Newtownabbey Borough Council
applebytown.gov.uk,Appleby Town Council
archifaugwent.gov.uk,Gwent Archives (Welsh name)
archifaumorgannwg.gov.uk,Glamorgan Archives (Welsh name)
ashpcsurrey.gov.uk,Ash Parish Council (Surrey)
ashwell.gov.uk,Ashwell Parish Council
avonfrs.gov.uk,Avon Fire and Rescue Service
aylesbury.gov.uk,Aylesbury Town Council
baberghmidsuffolk.gov.uk,Babergh and Mid Suffolk District Councils
barking-dagenham.gov.uk,London Borough of Barking and Dagenham
bedfordborough.gov.uk,Bedford Borough Council
bickleigh.gov.uk,Bickleigh Parish Council
biddenden.gov.uk,Biddenden Parish Council
blackwoodtown.gov.uk,Blackwood Town Council
blythe.gov.uk,Blyth Town Council
boroughgreen.gov.uk,Borough Green Parish Council
broadwindsorgroup.gov.uk,Broadwindsor Group Parish Council
brockenhurst.gov.uk,Brockenhurst Parish Council
bromorgannwg.gov.uk,Vale of Glamorgan Council (Welsh name)
bromsgroveandredditch.gov.uk,Bromsgrove and Redditch councils shared services
bucksandsurreytradingstandards.gov.uk,Bucks and Surrey Trading Standards
bude-stratton.gov.uk,Bude-Stratton Town Council
buildingcontrolpartnershiphants.gov.uk,Hampshire building control partnership
burtonlatimertown.gov.uk,Burton Latimer Town Council
buywithconfidence.gov.uk,Buy With Confidence (trading standards partnership)
caerffili.gov.uk,Caerphilly County Borough Council (Welsh name)
caiapark.gov.uk,Caia Park Community Council
cardiffcapitalregion.gov.uk,Cardiff Capital Region city deal
casnewydd.gov.uk,Newport City Council (Welsh name)
castle-cary.gov.uk,Castle Cary Town Council
causeway.gov.uk,Causeway Coast and Glens Borough Council
centrallondonforward.gov.uk,Central London Forward (boroughs partnership)
chalford-glos.gov.uk,Chalford Parish Council (Gloucestershire)
cherwellandsouthnorthants.gov.uk,Cherwell and South Northamptonshire councils
cheshiresharedservices.gov.uk,Cheshire councils shared services
cheshirewest.gov.uk,Cheshire West and Chester Council
chineham.gov.uk,Chineham Parish Council
chorleysouthribble.gov.uk,Chorley and South Ribble councils
christchurchandeastdorset.gov.uk,Christchurch and East Dorset councils
cityofworcester.gov.uk,Worcester City Council
clydeplan-sdpa.gov.uk,Glasgow and Clyde Valley Strategic Development Planning Authority
comfortcentreleicester.gov.uk,Leicester City Council service
corpoflondon.gov.uk,City of London Corporation
corporationoflondon.gov.uk,City of London Corporation
cosla.gov.uk,Convention of Scottish Local Authorities
coxgreen.gov.uk,Cox Green Parish Council
cwmbran.gov.uk,Cwmbran (Torfaen County Borough)
cyngortrefcaerfyrddin.gov.uk,Carmarthen Town Council (Welsh name)
cyngortrefybarri.gov.uk,Barry Town Council (Welsh name)
devonassurance.gov.uk,Devon Audit Partnership
devonbuildingcontrol.gov.uk,Devon building control partnership
devonjobs.gov.uk,Devon County Council jobs
devonsomersettradingstandards.gov.uk,Devon and Somerset Trading Standards
droitwichspa.gov.uk,Droitwich Spa Town Council
dumfriesandgalloway.gov.uk,Dumfries and Galloway Council
e-chorley.gov.uk,Chorley Borough Council
east-leake.gov.uk,East Leake Parish Council
eastbourne.gov.uk,Eastbourne Borough Council
eastkent.gov.uk,East Kent councils shared services
eastsurrey.gov.uk,East Surrey councils partnership
ellisfield.gov.uk,Ellisfield Parish Council
elycity.gov.uk,City of Ely Council
exeterandeastdevon.gov.uk,Exeter and East Devon growth point
ferndown.gov.uk,Ferndown Town Council
framlinghamtown.gov.uk,Framlingham Town Council
gcvgreennetwork.gov.uk,Glasgow and Clyde Valley Green Network
gla.gov.uk,Greater London Authority
glamarchives.gov.uk,Glamorgan Archives
glamro.gov.uk,Glamorgan Record Office
gmtu.gov.uk,Greater Manchester Transportation Unit
