hostname,score,sources,label,level
supremecourt.uk,9,wikidata;wikidata,Supreme Court of the United Kingdom,
parliament.uk,8,wikidata;wikidata,Parliament of the United Kingdom,
alderney.gov.gg,7,wikidata;wikidata,States of Alderney,
gov.ky,7,wikidata;wikidata,Parliament of the Cayman Islands,
parliament.gi,7,wikidata;wikidata,Parliament of Gibraltar,
parliament.ms,7,wikidata;wikidata,Legislative Assembly of Montserrat,
parliament.scot,7,wikidata;wikidata,Scottish Parliament,
senedd.cymru,6,wikidata;wikidata,Senedd,
senedd.wales,6,wikidata;wikidata,Senedd,
admin.ox.ac.uk,5,wikidata,University Chest,
falklands.gov.fk,4,wikidata,Government of the Falkland Islands,
gov.scot,4,wikidata,Scottish Government,
gov.wales,4,wikidata,Welsh Government,
laugharnecorporation.co.uk,4,wikidata,Laugharne Corporation,
ordnancesurvey.co.uk,4,wikidata,British Ordnance Survey,
derrystrabane.com,3,wikidata,Derry City and Strabane District Council,
llyw.cymru,3,wikidata,Welsh Government,
newrymournedown.org,3,wikidata,"Newry, Mourne and Down District Council",
nsandi.com,3,wikidata,National Savings and Investments,
