domain,level,source
redundancyni.gov.uk,central-1,manual
rentofficer-ni.gov.uk,central-1,govuk
roadworksscotland.gov.uk,central-1,manual
ros.gov.uk,central-1,manual
ruralni.gov.uk,central-1,manual
saas.gov.uk,central-1,manual
sais.gov.uk,central-1,manual
sasa.gov.uk,central-1,manual
scot.gov.uk,central-1,manual
scotcourts.gov.uk,central-1,manual
scotcourtstribunals.gov.uk,central-1,manual
scotland.gov.uk,central-1,manual
scotlandontap.gov.uk,central-1,manual
scotlandscensus.gov.uk,central-1,manual
scotlandsfinancialhealthservice.gov.uk,central-1,manual
scotlandshouseprices.gov.uk,central-1,manual
scotlandspeople.gov.uk,central-1,manual
scotlandsplaces.gov.uk,central-1,manual
scotlawcom.gov.uk,central-1,manual
scottishboundaries.gov.uk,central-1,manual
scottishchildcare.gov.uk,central-1,manual
scottishciviljusticecouncil.gov.uk,central-1,manual
scottishelectoralregister.gov.uk,central-1,manual
scottishfamilies.gov.uk,central-1,manual
scottishflooddefences.gov.uk,central-1,manual
scottishhousingregulator.gov.uk,central-1,manual
scra.gov.uk,central-1,manual
sedsh.gov.uk,central-1,manual
sell2wales.gov.uk,central-1,manual
sepa.gov.uk,central-1,manual
sharedresourceservicewales.gov.uk,central-1,manual
snh.gov.uk,central-1,manual
soils-scotland.gov.uk,central-1,manual
spatialni.gov.uk,central-1,manual
sppa.gov.uk,central-1,manual
sps.gov.uk,central-1,manual
stateaidscotland.gov.uk,central-1,manual
tellmescotland.gov.uk,central-1,manual
tobaccoregisterni.gov.uk,central-1,manual
transportscotland.gov.uk,central-1,manual
unedddatacymru.gov.uk,central-1,manual
uregni.gov.uk,central-1,manual
victimsni.gov.uk,central-1,manual
wales.gov.uk,central-1,manual
walescoastpath.gov.uk,central-1,manual
wao.gov.uk,central-1,manual
yjani.gov.uk,central-1,manual
youthjusticeagencyni.gov.uk,central-1,manual
