domain,level,name
acambaro.gob.mx,local,Acámbaro (Guanajuato)
acapulco.gob.mx,local,Acapulco de Juárez (Guerrero)
aguadehermosillo.gob.mx,local,Agua de Hermosillo (agua municipal de Hermosillo)
aguascalientes.gob.mx,central-1,Aguascalientes (estado)
aguaxalapa.gob.mx,local,CMAS Xalapa (agua municipal)
alamotemapache.gob.mx,local,Álamo Temapache (Veracruz)
ase-sinaloa.gob.mx,central-1,Auditoría Superior del Estado de Sinaloa
aseh.gob.mx,central-1,Auditoría Superior del Estado de Hidalgo
asenl.gob.mx,central-1,Auditoría Superior del Estado de Nuevo León
aseoaxaca.gob.mx,central-1,Auditoría Superior del Estado de Oaxaca
aseqroo.gob.mx,central-1,Auditoría Superior del Estado de Quintana Roo
aseslp.gob.mx,central-1,Auditoría Superior del Estado de San Luis Potosí
atizapan.gob.mx,local,Atizapán de Zaragoza (México)
atzompa.gob.mx,local,Santa María Atzompa (Oaxaca)
auditoriachihuahua.gob.mx,central-1,Auditoría Superior del Estado de Chihuahua
axutlamunicipio.gob.mx,local,Axutla (Puebla)
ayotlanjalisco.gob.mx,local,Ayotlán (Jalisco)
bajacalifornia.gob.mx,central-1,Baja California (estado)
bcs.gob.mx,central-1,Baja California Sur (estado)
bocadelrio.gob.mx,local,Boca del Río (Veracruz)
cadpemichoacan.gob.mx,central-1,Comité de Adquisiciones del Poder Ejecutivo de Michoacán
cajeme.gob.mx,local,Cajeme (Sonora)
calimaya.gob.mx,local,Calimaya (México)
campeche.gob.mx,central-1,Campeche (estado)
cancun.gob.mx,local,Cancún - Benito Juárez (Quintana Roo)
carmen.gob.mx,local,Carmen (Campeche)
catastrodecoahuila.gob.mx,central-1,Catastro del Estado de Coahuila
catastroloscabos.gob.mx,local,Catastro de Los Cabos (Baja California Sur)
cccedomex.gob.mx,central-1,Centro de Control de Confianza del Estado de México
cdmx.gob.mx,central-1,Ciudad de México
cdobregon.gob.mx,local,Ciudad Obregón - Cajeme (Sonora)
ceaqueretaro.gob.mx,central-1,Comisión Estatal de Aguas de Querétaro
cescdmx.gob.mx,central-1,Consejo Económico y Social de la Ciudad de México
cesp-yucatan.gob.mx,central-1,Consejo Estatal de Seguridad Pública de Yucatán
cespcampeche.gob.mx,central-1,Consejo Estatal de Seguridad Pública de Campeche
cespe.gob.mx,central-1,Comisión Estatal de Servicios Públicos de Ensenada (Baja California)
cespnay.gob.mx,central-1,Consejo Estatal de Seguridad Pública de Nayarit
cespt.gob.mx,central-1,Comisión Estatal de Servicios Públicos de Tijuana (Baja California)
chiapas.gob.mx,central-1,Chiapas (estado)
chignahuapan.gob.mx,local,Chignahuapan (Puebla)
