domain,level,source
aguascalientes.gob.mx,central-1,manual
ase-sinaloa.gob.mx,central-1,manual
aseh.gob.mx,central-1,manual
asenl.gob.mx,central-1,manual
aseoaxaca.gob.mx,central-1,manual
aseqroo.gob.mx,central-1,manual
aseslp.gob.mx,central-1,manual
auditoriachihuahua.gob.mx,central-1,manual
bajacalifornia.gob.mx,central-1,manual
bcs.gob.mx,central-1,manual
cadpemichoacan.gob.mx,central-1,manual
campeche.gob.mx,central-1,manual
catastrodecoahuila.gob.mx,central-1,manual
cccedomex.gob.mx,central-1,manual
cdmx.gob.mx,central-1,manual
ceaqueretaro.gob.mx,central-1,manual
cescdmx.gob.mx,central-1,manual
cesp-yucatan.gob.mx,central-1,manual
cespcampeche.gob.mx,central-1,manual
cespe.gob.mx,central-1,manual
cespnay.gob.mx,central-1,manual
cespt.gob.mx,central-1,manual
chiapas.gob.mx,central-1,manual
chihuahua.gob.mx,central-1,manual
coahuila.gob.mx,central-1,manual
coesvidgo.gob.mx,central-1,manual
col.gob.mx,central-1,manual
comprasbc.gob.mx,central-1,manual
compraver.gob.mx,central-1,manual
congresobc.gob.mx,central-1,manual
congresochiapas.gob.mx,central-1,manual
congresogro.gob.mx,central-1,manual
congresogto.gob.mx,central-1,manual
congresooaxaca.gob.mx,central-1,manual
culturabcs.gob.mx,central-1,manual
culturaqueretaro.gob.mx,central-1,manual
declaranetcoahuila.gob.mx,central-1,manual
df.gob.mx,central-1,manual
difbc.gob.mx,central-1,manual
difjalisco.gob.mx,central-1,manual
difsinaloa.gob.mx,central-1,manual
durango.gob.mx,central-1,manual
e-hidalgo.gob.mx,central-1,manual
ebajacalifornia.gob.mx,central-1,manual
ecespm.gob.mx,central-1,manual
edomex.gob.mx,central-1,manual
edomexico.gob.mx,central-1,manual
eguanajuato.gob.mx,central-1,manual
esonora.gob.mx,central-1,manual
finanzasdurango.gob.mx,central-1,manual
finanzasoaxaca.gob.mx,central-1,manual
finanzastlax.gob.mx,central-1,manual
fuerzacivil.gob.mx,central-1,manual
gob.mx,central,manual
gobiernodeveracruz.gob.mx,central-1,manual
guanajuato.gob.mx,central-1,manual
guerrero.gob.mx,central-1,manual
hacienda-nayarit.gob.mx,central-1,manual
hidalgo.gob.mx,central-1,manual
icvnl.gob.mx,central-1,manual
idpnl.gob.mx,central-1,manual
ifrem.gob.mx,central-1,manual
indebc.gob.mx,central-1,manual
indivibc.gob.mx,central-1,manual
ipejal.gob.mx,central-1,manual
isapeg.gob.mx,central-1,manual
isseg.gob.mx,central-1,manual
issemym.gob.mx,central-1,manual
issstecali.gob.mx,central-1,manual
jalisco.gob.mx,central-1,manual
juicioenlineasinaloa.gob.mx,central-1,manual
justiciapenalaguascalientes.gob.mx,central-1,manual
legislaturaqueretaro.gob.mx,central-1,manual
mexicocity.gob.mx,central-1,manual
michoacan.gob.mx,central-1,manual
morelos.gob.mx,central-1,manual
nay.gob.mx,central-1,manual
nayarit.gob.mx,central-1,manual
nl.gob.mx,central-1,manual
nuevoleon.gob.mx,central-1,manual
oaxaca.gob.mx,central-1,manual
ofsbc.gob.mx,central-1,manual
ofsgto.gob.mx,central-1,manual
ofstlaxcala.gob.mx,central-1,manual
orfis.gob.mx,central-1,manual
pgjdf.gob.mx,central-1,manual
pgjebc.gob.mx,central-1,manual
pgjeguerrero.gob.mx,central-1,manual
pgjgto.gob.mx,central-1,manual
pgjguanajuato.gob.mx,central-1,manual
pgjoaxaca.gob.mx,central-1,manual
pgjqro.gob.mx,central-1,manual
pjbc.gob.mx,central-1,manual
pjenl.gob.mx,central-1,manual
pjeveracruz.gob.mx,central-1,manual
poderjudicial-gto.gob.mx,central-1,manual
poderjudicialcdmx.gob.mx,central-1,manual
poderjudicialdf.gob.mx,central-1,manual
poderjudicialyucatan.gob.mx,central-1,manual
puebla.gob.mx,central-1,manual
qroo.gob.mx,central-1,manual
queretaro.gob.mx,central-1,manual
regulacionsanitarianl.gob.mx,central-1,manual
repssbc.gob.mx,central-1,manual
sadm.gob.mx,central-1,manual
saludsonora.gob.mx,central-1,manual
saludtlax.gob.mx,central-1,manual
sdrguerrero.gob.mx,central-1,manual
secogem.gob.mx,central-1,manual
secomver.gob.mx,central-1,manual
secturveracruz.gob.mx,central-1,manual
sefiplan.gob.mx,central-1,manual
seg-gto.gob.mx,central-1,manual
seg.gob.mx,central-1,manual
segey.gob.mx,central-1,manual
seguridadbc.gob.mx,central-1,manual
setyde.gob.mx,central-1,manual
sf-nayarit.gob.mx,central-1,manual
sfapuebla.gob.mx,central-1,manual
sfcoahuila.gob.mx,central-1,manual
sinaloa.gob.mx,central-1,manual
slp.gob.mx,central-1,manual
slpfinanzas.gob.mx,central-1,manual
sonora.gob.mx,central-1,manual
ssaver.gob.mx,central-1,manual
sspo.gob.mx,central-1,manual
sspver.gob.mx,central-1,manual
stjsonora.gob.mx,central-1,manual
tabasco.gob.mx,central-1,manual
tamaulipas.gob.mx,central-1,manual
tcagto.gob.mx,central-1,manual
tcanl.gob.mx,central-1,manual
tlaxcala.gob.mx,central-1,manual
tribunaloaxaca.gob.mx,central-1,manual
tribunalqro.gob.mx,central-1,manual
tsjdf.gob.mx,central-1,manual
tsjqroo.gob.mx,central-1,manual
veracruz.gob.mx,central-1,manual
yucatan.gob.mx,central-1,manual
zacatecas.gob.mx,central-1,manual
