domain,name
acambaro.gob.mx,Acámbaro (Guanajuato)
acapulco.gob.mx,Acapulco de Juárez (Guerrero)
aguadehermosillo.gob.mx,Agua de Hermosillo (agua municipal de Hermosillo)
aguaxalapa.gob.mx,CMAS Xalapa (agua municipal)
alamotemapache.gob.mx,Álamo Temapache (Veracruz)
atizapan.gob.mx,Atizapán de Zaragoza (México)
atzompa.gob.mx,Santa María Atzompa (Oaxaca)
axutlamunicipio.gob.mx,Axutla (Puebla)
ayotlanjalisco.gob.mx,Ayotlán (Jalisco)
bocadelrio.gob.mx,Boca del Río (Veracruz)
cajeme.gob.mx,Cajeme (Sonora)
calimaya.gob.mx,Calimaya (México)
cancun.gob.mx,Cancún - Benito Juárez (Quintana Roo)
carmen.gob.mx,Carmen (Campeche)
catastroloscabos.gob.mx,Catastro de Los Cabos (Baja California Sur)
cdobregon.gob.mx,Ciudad Obregón - Cajeme (Sonora)
chignahuapan.gob.mx,Chignahuapan (Puebla)
cmascoatepec.gob.mx,CMAS Coatepec (agua municipal - Veracruz)
cmasxalapa.gob.mx,CMAS Xalapa (agua municipal - Veracruz)
coatlandelrio.gob.mx,Coatlán del Río (Morelos)
colima.gob.mx,Colima (municipio)
comunicadoscoatzacoalcos.gob.mx,Coatzacoalcos (Veracruz)
corregidora.gob.mx,Corregidora (Querétaro)
corregidoraenlinea.gob.mx,Corregidora (Querétaro)
cozumel.gob.mx,Cozumel (Quintana Roo)
cuernavaca.gob.mx,Cuernavaca (Morelos)
culiacan.gob.mx,Culiacán (Sinaloa)
difayotlan.gob.mx,DIF municipal de Ayotlán (Jalisco)
diflerdo.gob.mx,DIF municipal de Lerdo (Durango)
difpuertovallarta.gob.mx,DIF municipal de Puerto Vallarta (Jalisco)
difzapopan.gob.mx,DIF municipal de Zapopan (Jalisco)
doloreshidalgo.gob.mx,Dolores Hidalgo (Guanajuato)
eduardoneri.gob.mx,Eduardo Neri (Guerrero)
elmarquesenlinea.gob.mx,El Marqués (Querétaro)
ensenada.gob.mx,Ensenada (Baja California)
gomezpalacio.gob.mx,Gómez Palacio (Durango)
guadalajara.gob.mx,Guadalajara (Jalisco)
guadalupe.gob.mx,Guadalupe (Nuevo León)
guanajuatocapital.gob.mx,Guanajuato capital (municipio)
hecelchakan.gob.mx,Hecelchakán (Campeche)
hermosillo.gob.mx,Hermosillo (Sonora)
