domain,level,name
assembly.go.kr,central,
go.kr,central,
gov.kr,central,
mafra.go.kr,central,
mcee.go.kr,central,
mcst.go.kr,central,
me.go.kr,central,
mnd.go.kr,central,
moe.go.kr,central,
moef.go.kr,central,
moel.go.kr,central,
mof.go.kr,central,
mofa.go.kr,central,
mogef.go.kr,central,
mohw.go.kr,central,
mois.go.kr,central,
moj.go.kr,central,
molit.go.kr,central,
mopas.go.kr,central,
motie.go.kr,central,
mpva.go.kr,central,
msit.go.kr,central,
mss.go.kr,central,
nrc.go.kr,central,
president.go.kr,central,
unikorea.go.kr,central,
