field,text
country_name,"Kingdom of Thailand"
government_type,"constitutional monarchy"
capital,"Bangkok"
chief_of_state,"King WACHIRALONGKON; also spelled Vajiralongkorn (since 1 December 2016)"
head_of_government,"Prime Minister ANUTIN Charnvirakul (since 5 Sep 2025)"
judicial_highest_courts,"Supreme Court of Justice (consists of the court president, 6 vice presidents, 60-70 judges, and organized into 10 divisions); Constitutional Court (consists of the court president and 8 judges); Supreme Administrative Court (number of judges determined by Judicial Commission of the Administrative Courts)"
constitution_history,"many previous; latest drafted and presented 29 March 2016, approved by referendum 7 August 2016, signed into law by the king on 6 April 2017"
