subdomain,parent_domain,http_status,mx
fjellstyreneistjordal.no,fjellstyreneistjordal.no,,
folkehelsemelding.regjeringen.no,regjeringen.no,Could not resolve host: folkehelsemelding.regjeringen.no,none
folkepanel.regjeringen.no,regjeringen.no,200,none
folketrygdfondet.no,folketrygdfondet.no,,
folldal-fjellstyre.no,folldal-fjellstyre.no,,
foodfromtheocean.teststeder.regjeringen.no,regjeringen.no,302,none
forbrukerradet.no,forbrukerradet.no,,
forbrukertilsynet.no,forbrukertilsynet.no,,
forskningsetikk.no,forskningsetikk.no,,
forskningsradet.no,forskningsradet.no,,
forsvaret.no,forsvaret.no,,
forsvarsbygg.no,forsvarsbygg.no,,
forsvarshistoriskmuseum.no,forsvarshistoriskmuseum.no,,
forsvarsombudet.no,forsvarsombudet.no,,
fosterhjemsutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
fremtidensarbeidsliv.teststeder.regjeringen.no,regjeringen.no,302,none
frieinntekter.regjeringen.no,regjeringen.no,301,none
frlu.teststeder.regjeringen.no,regjeringen.no,302,none
fug.no,fug.no,,
fylkesmannen.no,fylkesmannen.no,,
garantikassen.no,garantikassen.no,,
gassnova.no,gassnova.no,,
generaladvokaten.no,generaladvokaten.no,,
ggg.teststeder.regjeringen.no,regjeringen.no,Could not resolve host: ggg.teststeder.regjeringen.no,none
gjenopptakelse.no,gjenopptakelse.no,,
granskingsutvalg-trygdeforordning.teststeder.regjeringen.no,regjeringen.no,302,none
gronnkonkurransekraft.teststeder.regjeringen.no,regjeringen.no,302,none
harmonien.no,harmonien.no,,
havtil.no,havtil.no,,
hdo.no,hdo.no,,
helgelandssykehuset.no,helgelandssykehuset.no,,
helse-bergen.no,helse-bergen.no,,
helse-fonna.no,helse-fonna.no,,
helse-forde.no,helse-forde.no,,
helse-midt.no,helse-midt.no,,
helse-mr.no,helse-mr.no,,
helse-nord.no,helse-nord.no,,
helse-sorost.no,helse-sorost.no,,
helse-vest-ikt.no,helse-vest-ikt.no,,
helse-vest.no,helse-vest.no,,
helsedirektoratet.no,helsedirektoratet.no,,
helsekonferanse.teststeder.regjeringen.no,regjeringen.no,302,none
helsenaeringen.teststeder.regjeringen.no,regjeringen.no,302,none
helsetilsynet.no,helsetilsynet.no,,
hemit.no,hemit.no,,
hivolda.no,hivolda.no,,
hkdir.no,hkdir.no,,
hnt.no,hnt.no,,
hol-fjellstyre.no,hol-fjellstyre.no,,
hovedredningssentralen.no,hovedredningssentralen.no,,
hvitvasking.teststeder.regjeringen.no,regjeringen.no,302,none
hvl.no,hvl.no,,
idahot.teststeder.regjeringen.no,regjeringen.no,302,none
imdi.no,imdi.no,,
imr.no,imr.no,,
inatur.no,inatur.no,,
inkludering-barn-unge.teststeder.regjeringen.no,regjeringen.no,302,none
innovasjonioffentligsektor.teststeder.regjeringen.no,regjeringen.no,302,none
inntektssystemutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
integreringskonferansen.teststeder.regjeringen.no,regjeringen.no,302,none
integreringsloftet.teststeder.regjeringen.no,regjeringen.no,302,none
jobbifin2.teststeder.regjeringen.no,regjeringen.no,302,none
jomfrulandnasjonalpark.no,jomfrulandnasjonalpark.no,,
justervesenet.no,justervesenet.no,,
justismuseet.no,justismuseet.no,,
kampfly.teststeder.regjeringen.no,regjeringen.no,302,none
kapitaltilgangsutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
kfir.no,kfir.no,,
klimarisikoutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
kliniskestudier.teststeder.regjeringen.no,regjeringen.no,302,none
kommunedata.regjeringen.no,regjeringen.no,301,none
komtilkom.teststeder.regjeringen.no,regjeringen.no,302,none
konfliktraadet.no,konfliktraadet.no,,
kongehuset.no,kongehuset.no,,
konkurransetilsynet.no,konkurransetilsynet.no,,
konsultasjonsveileder.teststeder.regjeringen.no,regjeringen.no,302,none
koro.no,koro.no,,
koronakommisjonen.teststeder.regjeringen.no,regjeringen.no,302,none
kudos.teststeder.regjeringen.no,regjeringen.no,302,none
kulturdirektoratet.no,kulturdirektoratet.no,,
kulturminnefondet.no,kulturminnefondet.no,,
kulturtanken.no,kulturtanken.no,,
kunnskapsdepartementet.no,kunnskapsdepartementet.no,301,none
kunstfond.no,kunstfond.no,,
kurs.regjeringen.no,regjeringen.no,Could not resolve host: kurs.regjeringen.no,none
kurs.svar.regjeringen.no,regjeringen.no,Could not resolve host: kurs.svar.regjeringen.no,none
kystverket.no,kystverket.no,,
landbruksdirektoratet.no,landbruksdirektoratet.no,,
langskip.regjeringen.no,regjeringen.no,Could not resolve host: langskip.regjeringen.no,none
lesja-fjellstyre.no,lesja-fjellstyre.no,,
liedutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
likestiltnorden2017.regjeringen.no,regjeringen.no,Could not resolve host: likestiltnorden2017.regjeringen.no,none
lottstift.no,lottstift.no,,
lov.teststeder.regjeringen.no,regjeringen.no,Could not resolve host: lov.teststeder.regjeringen.no,none
lov2.teststeder.regjeringen.no,regjeringen.no,Could not resolve host: lov2.teststeder.regjeringen.no,none
luftambulanse.no,luftambulanse.no,,
luftfart.museum.no,luftfart.museum.no,,
luftfartstilsynet.no,luftfartstilsynet.no,,
marintmiljo.teststeder.regjeringen.no,regjeringen.no,302,none
matgledekorpset.teststeder.regjeringen.no,regjeringen.no,302,none
mattilsynet.no,mattilsynet.no,,
media.regjeringen.no,regjeringen.no,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
medietilsynet.no,medietilsynet.no,,
mesterbrev.no,mesterbrev.no,,
met.no,met.no,,
mil.no,mil.no,,
miljodirektoratet.no,miljodirektoratet.no,,
miljorapport.teststeder.regjeringen.no,regjeringen.no,302,none
mpk.no,mpk.no,,
nasjonalarkivet.no,nasjonalarkivet.no,,
nasjonaletjenester.teststeder.regjeringen.no,regjeringen.no,302,none
nasjonalparkstyre.no,nasjonalparkstyre.no,,
