domain,level,source,name
ahus.no,central,brreg,AKERSHUS UNIVERSITETSSYKEHUS HF
akkreditert.no,central,brreg,NORSK AKKREDITERING
anderdalennasjonalpark.no,central,brreg,ÅNDERDALEN NASJONALPARKSTYRE
arbeidstilsynet.no,central,brreg,ARBEIDSTILSYNET
artsdatabanken.no,central,brreg,ARTSDATABANKEN
aurland-fjellstyre.no,central,brreg,AURLAND FJELLSTYRE
banenor.no,central,brreg,BANE NOR SF
barneombudet.no,central,brreg,BARNEOMBUDET
bioteknologiradet.no,central,brreg,BIOTEKNOLOGIRÅDET
brreg.no,central,brreg,REGISTERENHETEN I BRØNNØYSUND
bufetat.no,central,brreg,"BARNE-, UNGDOMS- OG FAMILIEDIREKTORATET"
bvhn.no,central,brreg,BARNEVERNS- OG HELSENEMNDA
carteblanche.no,central,brreg,CARTE BLANCHE AS
dagligvaretilsynet.no,central,brreg,DAGLIGVARETILSYNET
datatilsynet.no,central,brreg,DATATILSYNET
dfo.no,central,brreg,DIREKTORATET FOR FORVALTNING OG ØKONOMISTYRING
dibk.no,central,brreg,DIREKTORATET FOR BYGGKVALITET
digdir.no,central,brreg,DIGITALISERINGSDIREKTORATET
dirmin.no,central,brreg,DIREKTORATET FOR MINERALFORVALTNING MED BERGMESTEREN FOR SVALBARD
diskrimineringsnemnda.no,central,brreg,DISKRIMINERINGSNEMNDA
distriktssenteret.no,central,brreg,KOMPETANSESENTER FOR DISTRIKTSUTVIKLING
dmp.no,central,brreg,DIREKTORATET FOR MEDISINSKE PRODUKTER
dnbe.no,central,brreg,STIFTELSEN DET NORSKE BLÅSEENSEMBLE ANNO 1734
dns.no,central,brreg,AS DEN NATIONALE SCENE
domstol.no,central,brreg,DOMSTOLENE I NORGE
dovre-fjellstyre.no,central,brreg,DOVRE FJELLSTYRE
dsa.no,central,brreg,DIREKTORATET FOR STRÅLEVERN OG ATOMSIKKERHET
dsb.no,central,brreg,DIREKTORATET FOR SAMFUNNSSIKKERHET OG BEREDSKAP (DSB)
dss.dep.no,central,brreg,DEPARTEMENTENES SIKKERHETS- OG SERVICEORGANISASJON (DSS)
e18vestfold.no,central,brreg,VEGFINANS E18 VESTFOLD AS
engerdal-fjellstyre.no,central,brreg,ENGERDAL FJELLSTYRE
enova.no,central,brreg,ENOVA SF
ffi.no,central,brreg,FORSVARETS FORSKNINGSINSTITUTT
fhi.no,central,brreg,FOLKEHELSEINSTITUTTET
finanstilsynet.no,central,brreg,FINANSTILSYNET
finnmarkssyskehuset.no,central,brreg,FINNMARKSSYKEHUSET HF
fiskeridir.no,central,brreg,FISKERIDIREKTORATET
fjellinjen.no,central,brreg,FJELLINJEN AS
fjellstyrene.no,central,brreg,NAMSSKOGAN FJELLSTYRE
fjellstyreneistjordal.no,central,brreg,FJELLSTYRENE I STJØRDAL OG MERÅKER
folketrygdfondet.no,central,brreg,FOLKETRYGDFONDET
folldal-fjellstyre.no,central,brreg,FOLLDAL FJELLSTYRE
forbrukerradet.no,central,brreg,FORBRUKERRÅDET
forbrukertilsynet.no,central,brreg,FORBRUKERTILSYNET
forskningsetikk.no,central,brreg,DE NASJONALE FORSKNINGSETISKE KOMITEENE
forskningsradet.no,central,brreg,NORGES FORSKNINGSRÅD
forsvaret.no,central,brreg,HÆREN
forsvarsbygg.no,central,brreg,FORSVARSBYGG
forsvarshistoriskmuseum.no,central,brreg,FORSVARSHISTORISK MUSEUM
forsvarsombudet.no,central,brreg,STORTINGETS OMBUDSNEMND FOR FORSVARET
fug.no,central,brreg,FORELDREUTVALGET FOR GRUNNOPPLÆRINGEN
fylkesmannen.no,central,brreg,STATSFORVALTAREN I MØRE OG ROMSDAL | STATSFORVALTEREN I AGDER
garantikassen.no,central,brreg,GARANTIKASSEN FOR FISKERE
