subdomain,parent_domain,http_status,mx
dokumenti-pis.mop.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
dp1.arso.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'dp1.arso.gov.si',none
drexmbx.ess.gov.si,gov.si,Could not resolve host: drexmbx.ess.gov.si,none
drr-razpisi.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
du-sts.gov.si,gov.si,404,none
dzp.gov.si,gov.si,403,none
e-kmetija-sipass.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
e-kmetija.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
e-prostor.gov.si,gov.si,302,none
e-storitve-zirs.gov.si,gov.si,200,none
e-uprava-eplacila-test.gov.si,gov.si,Could not resolve host: e-uprava-eplacila-test.gov.si,none
e-uprava-eplacila.gov.si,gov.si,Could not resolve host: e-uprava-eplacila.gov.si,none
e-uprava-test.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
e-uprava-uvajanje.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
e-uprava.gov.si,gov.si,200,none
e-uvhvvr.gov.si,gov.si,200,none
ecarina-test.carina.gov.si,gov.si,Could not resolve host: ecarina-test.carina.gov.si,none
ecarina-test.curs.sigov.si,gov.si,Could not resolve host: ecarina-test.curs.sigov.si,none
ecarina-test.fu.gov.si,gov.si,Could not resolve host: ecarina-test.fu.gov.si,none
ecarina.carina.gov.si,gov.si,302,none
ecarina.fu.gov.si,gov.si,302,none
ecarina85-test.fu.gov.si,gov.si,302,none
ecarina85.carina.gov.si,gov.si,Could not resolve host: ecarina85.carina.gov.si,none
ecrp.gov.si,gov.si,Could not resolve host: ecrp.gov.si,none
edelivery-gw.mpju.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
edelivery-oots-sola.gov.si,gov.si,200,none
edelivery-oots.gov.si,gov.si,200,none
edrazbe-sola.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
edrazbe.gov.si,gov.si,302,none
eforms.arrs.gov.si,gov.si,Could not resolve host: eforms.arrs.gov.si,none
efotograf-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
efotograf.gov.si,gov.si,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
egp.gu.gov.si,gov.si,Could not resolve host: egp.gu.gov.si,none
eid.gov.si,gov.si,200,none
eiks.gov.si,gov.si,Could not resolve host: eiks.gov.si,none
eionet-test.arso.gov.si,gov.si,Could not resolve host: eionet-test.arso.gov.si,none
eionet.arso.gov.si,gov.si,200,none
ejn.gov.si,gov.si,Could not resolve host: ejn.gov.si,none
ejr.ekultura.gov.si,gov.si,200,none
ejr.gov.si,gov.si,Could not resolve host: ejr.gov.si,none
ejr.maribor.gov.si,gov.si,Could not resolve host: ejr.maribor.gov.si,none
ekmetijstvo-api.gov.si,gov.si,403,none
ekmetijstvo.gov.si,gov.si,302,none
ekt2jedro.gov.si,gov.si,Could not resolve host: ekt2jedro.gov.si,none
elections.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
ema.arr.gov.si,gov.si,Could not resolve host: ema.arr.gov.si,none
ema.arr.sigov.si,gov.si,Could not resolve host: ema.arr.sigov.si,none
ema2-integ.gov.si,gov.si,Could not resolve host: ema2-integ.gov.si,none
ema2.arr.gov.si,gov.si,Connection timed out after 3000 milliseconds,none
ema2.gov.si,gov.si,200,none
emddsz.gov.si,gov.si,200,none
enakvis-sola.portal.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
enakvis-test.portal.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
enakvis.portal.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
enotnazbirkaukrepov.gov.si,gov.si,200,none
enr.gov.si,gov.si,Could not resolve host: enr.gov.si,none
enr.sigov.si,gov.si,Could not resolve host: enr.sigov.si,none
enterpriseenrollment.mzz.gov.si,gov.si,403,none
enterpriseregistration.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'enterpriseregistration.gov.si',none
eobrazci.arrs.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'eobrazci.arrs.gov.si',none
epanel.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
eplacila.ujp.gov.si,gov.si,200,none
epos-de.gov.si,gov.si,Could not resolve host: epos-de.gov.si,none
epos.de.gov.si,gov.si,Could not resolve host: epos.de.gov.si,none
eposta.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
