field,text
country_name,"The Holy See (Vatican City State)"
government_type,"ecclesiastical elective monarchy; self-described as an ""absolute monarchy"""
capital,"Vatican City"
chief_of_state,"Pope LEO XIV (since 8 May 2025)"
head_of_government,"President of the Pontifical Commission for the State of Vatican City and President of the Governorate of the Vatican City State Fernando VERGEZ ALZAGA (since 1 October 2021)"
judicial_highest_courts,"Supreme Court or Supreme Tribunal of the Apostolic Signatura (consists of the cardinal prefect, who serves as ex-officio president of the court, and 2 other cardinals of the Prefect Signatura)"
constitution_history,"previous 1929, 2000; latest issued by Pope FRANCIS 13 May 2023, effective 7 June 2023 (Fundamental Law of Vatican City State, the main governing document of the Vatican's civil entities); the Roman Curia is the administrative apparatus &ndash; the departments and ministries &ndash; used by the pontiff in governing the church"
