field,text
country_name,"Lebanese Republic"
government_type,"parliamentary democratic republic"
capital,"Beirut"
chief_of_state,"President Joseph AOUN (since 9 January 2025)"
head_of_government,"Prime Minister Nawaf SALAM (since 8 February 2025)"
judicial_highest_courts,"Court of Cassation or Supreme Court (organized into 8 chambers, each with a presiding judge and 2 associate judges); Constitutional Council (consists of 10 members)"
constitution_history,"drafted 15 May 1926, adopted 23 May 1926"
