field,text
country_name,"Federal Republic of Somalia"
government_type,"federal parliamentary republic"
capital,"Mogadishu"
chief_of_state,"President HASSAN SHEIKH Mohamud (since 23 May 2022)"
head_of_government,"Prime Minister Hamza Abdi BARRE (since 25 June 2022)"
judicial_highest_courts,"the provisional constitution stipulates the establishment of the Constitutional Court (consists of 5 judges, including the chief judge and deputy chief judge)"
constitution_history,"previous 1961, 1979; latest drafted 12 June 2012, adopted 1 August 2012 "
