domain,label,level,name
gov.tr,bartinozelidare,central-1,Bartın İl Özel İdaresi
gov.tr,gaziantepozelidare,central-1,Gaziantep İl Özel İdaresi
gov.tr,ispartaozelidare,central-1,Isparta İl Özel İdaresi
gov.tr,karabukozelidare,central-1,Karabük İl Özel İdaresi
gov.tr,karsozelidarecbs,central-1,Kars İl Özel İdaresi (CBS)
gov.tr,osmaniyeozelidare,central-1,Osmaniye İl Özel İdaresi
gov.tr,rizeozelidare,central-1,Rize İl Özel İdaresi
gov.tr,sivasilozelidaresi,central-1,Sivas İl Özel İdaresi
gov.tr,sivasozelidare,central-1,Sivas İl Özel İdaresi (variante)
gov.tr,abana-bld,local,Abana Belediyesi
gov.tr,aydin-bld,local,Aydın Belediyesi
gov.tr,babaeski-bld,local,Babaeski Belediyesi
gov.tr,bandirma-bld,local,Bandırma Belediyesi
gov.tr,bartin-bld,local,Bartın Belediyesi
gov.tr,burdur-bld,local,Burdur Belediyesi
gov.tr,corlu-bld,local,Çorlu Belediyesi
gov.tr,demirci-bld,local,Demirci Belediyesi
gov.tr,erdek-bld,local,Erdek Belediyesi
gov.tr,erzincan-bld,local,Erzincan Belediyesi
gov.tr,eskisehir-bld,local,Eskişehir Belediyesi
gov.tr,gaziantep-bld,local,Gaziantep Belediyesi
gov.tr,incesu-bld,local,İncesu Belediyesi
gov.tr,kalkan-bld,local,Kalkan Belediyesi
gov.tr,kepez-bld,local,Kepez Belediyesi
gov.tr,kirikkale-bld,local,Kırıkkale Belediyesi
gov.tr,kiziltepe-bld,local,Kızıltepe Belediyesi
gov.tr,mustafakemalpasa-bld,local,Mustafakemalpaşa Belediyesi
gov.tr,narlidere-bld,local,Narlıdere Belediyesi
gov.tr,omerli-bld,local,Ömerli Belediyesi
gov.tr,oren-bld,local,Ören Belediyesi
gov.tr,piraziz-bld,local,Piraziz Belediyesi
gov.tr,sahinbey-bld,local,Şahinbey Belediyesi
gov.tr,silifke-bld,local,Silifke Belediyesi
gov.tr,toroslar-bld,local,Toroslar Belediyesi
gov.tr,uskudar-bld,local,Üsküdar Belediyesi
gov.tr,yenisehir-bld,local,Yenişehir Belediyesi
gov.tr,yildirim-bld,local,Yıldırım Belediyesi
