field,text
country_name,"Republic of Kosovo"
government_type,"parliamentary republic"
capital,"Pristina (Prishtine, Prishtina)"
chief_of_state,"President Vjosa OSMANI-Sadriu (since 4 April 2021)"
head_of_government,"Acting Prime Minister Albin KURTI (since 15 April 2025)"
judicial_highest_courts,"Supreme Court (consists of the court president and 18 judges and organized into Appeals Panel of the Kosovo Property Agency and Special Chamber); Constitutional Court (consists of the court president, vice president, and 7 judges)"
constitution_history,"previous 1974, 1990; latest (post-independence) draft finalized 2 April 2008, signed 7 April 2008, ratified 9 April 2008, entered into force 15 June 2008"
