field,text
country_name,"Kingdom of Tonga"
government_type,"constitutional monarchy"
capital,"Nuku'alofa"
chief_of_state,"King TUPOU VI (since 18 March 2012)"
head_of_government,"Prime Minister Fatafehi FAKAFANUA (since 18 December 2025)"
judicial_highest_courts,"Court of Appeal (consists of the court president and a number of judges determined by the monarch)"
constitution_history,"adopted 4 November 1875, revised 1988, 2016"
