subdomain,http_status,mx
bhxhninhbinh.gov.vn,Could not resolve host: bhxhninhbinh.gov.vn,none
bhxhthanhhoa.gov.vn,Could not resolve host: bhxhthanhhoa.gov.vn,none
bhxhtravinh.gov.vn,Could not resolve host: bhxhtravinh.gov.vn,none
bhxhvinhphuc.gov.vn,Could not resolve host: bhxhvinhphuc.gov.vn,none
binhduong.gov.vn,Could not resolve host: binhduong.gov.vn,none
bocaodientu.dkkd.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
book.haiquandongthap.gov.vn,Could not resolve host: book.haiquandongthap.gov.vn,none
bqldannptntbinhduong.gov.vn,Could not resolve host: bqldannptntbinhduong.gov.vn,none
bqlkkt.longan.gov.vn,Connection timed out after 3001 milliseconds,none
bqlkkt.phuyen.gov.vn,Could not resolve host: bqlkkt.phuyen.gov.vn,none
bqlrphbinhduong.gov.vn,Could not resolve host: bqlrphbinhduong.gov.vn,none
bttc.gov.vn,Could not resolve host: bttc.gov.vn,none
bvquandanyvinhlong.vinhlong.gov.vn,Resolving timed out after 3001 milliseconds,none
bvtvhcm.gov.vn,Could not resolve host: bvtvhcm.gov.vn,none
c13ts.bhxhangiang.gov.vn,Could not resolve host: c13ts.bhxhangiang.gov.vn,none
caa.gov.vn,200,none
camau.gov.vn,Connection timed out after 3001 milliseconds,10 mail.camau.gov.vn.
camnang.hongphong.gov.vn,Could not resolve host: camnang.hongphong.gov.vn,none
camxuyen.hatinh.gov.vn,200,none
canduoc.longan.gov.vn,Could not resolve host: canduoc.longan.gov.vn,none
cangiuoc.longan.gov.vn,Could not resolve host: cangiuoc.longan.gov.vn,none
canhan.gdt.gov.vn,Connection timed out after 3001 milliseconds,none
caobang.gov.vn,Connection timed out after 3001 milliseconds,10 secureidcmb.vnptdata.vn.
cas.baria-vungtau.gov.vn,200,none
cas.binhdinh.gov.vn,200,15 mail.cas.binhdinh.gov.vn.; 5 mx01.cas.binhdinh.gov.vn.; 10 mx01.cas.binhdinh.gov.vn.
cas.binhthuan.gov.vn,503,none
cas.daklak.gov.vn,200,none
cas.quangnam.gov.vn,Could not resolve host: cas.quangnam.gov.vn,none
cas.travinh.gov.vn,Could not resolve host: cas.travinh.gov.vn,none
catlaiq2.gov.vn,Could not resolve host: catlaiq2.gov.vn,none
catphatinh.gov.vn,SSL certificate problem: certificate has expired,none
ccis.cpt.gov.vn,Could not resolve host: ccis.cpt.gov.vn,none
ccklbacgiang.gov.vn,Could not resolve host: ccklbacgiang.gov.vn,none
ccklbinhduong.gov.vn,Could not resolve host: ccklbinhduong.gov.vn,none
cctlbinhduong.gov.vn,Could not resolve host: cctlbinhduong.gov.vn,none
cctshcm.gov.vn,405,none
ccttbvtvbinhduong.gov.vn,Could not resolve host: ccttbvtvbinhduong.gov.vn,none
cctybinhduong.gov.vn,Could not resolve host: cctybinhduong.gov.vn,none
cdn.khuetrung.gov.vn,Could not resolve host: cdn.khuetrung.gov.vn,none
cema.gov.vn,Connection timed out after 3002 milliseconds,none
cemhcm.gov.vn,Could not resolve host: cemhcm.gov.vn,none
cert.isconline.gov.vn,Could not resolve host: cert.isconline.gov.vn,none
cetac.gov.vn,Could not resolve host: cetac.gov.vn,none
cewaco.gov.vn,Could not resolve host: cewaco.gov.vn,none
chat.qh.gov.vn,Could not resolve host: chat.qh.gov.vn,none
chatthairan.stnmt.dongnai.gov.vn,302,none
chauthanh.longan.gov.vn,Could not resolve host: chauthanh.longan.gov.vn,none
chegtech.phuongquoctugiam.gov.vn,Could not resolve host: chegtech.phuongquoctugiam.gov.vn,none
chicucthuetpvinh.gov.vn,Connection timed out after 3002 milliseconds,none
chicucthuyloiyenbai.gov.vn,200,none
chidoanstttt.ictc-binhphuoc.gov.vn,Could not resolve host: chidoanstttt.ictc-binhphuoc.gov.vn,none
chisocchc.dongthap.gov.vn,Operation timed out after 3000 milliseconds with 0 bytes received,none
chukyso.ict-backan.gov.vn,Could not resolve host: chukyso.ict-backan.gov.vn,none
circuit-vietnam.vttc.gov.vn,Could not resolve host: circuit-vietnam.vttc.gov.vn,none
cird.gov.vn,Could not resolve host: cird.gov.vn,none
cird.quanhelaodong.gov.vn,Could not resolve host: cird.quanhelaodong.gov.vn,none
cms.cantho.gov.vn,Resolving timed out after 3001 milliseconds,none
congan.ninhbinh.gov.vn,200,none
congankontum.gov.vn,Could not resolve host: congankontum.gov.vn,none
conganlongan.gov.vn,Could not resolve host: conganlongan.gov.vn,none
conganmytu.gov.vn,Could not resolve host: conganmytu.gov.vn,none
conganquangbinh.gov.vn,Could not resolve host: conganquangbinh.gov.vn,none
conganquangninh.gov.vn,Connection timed out after 3001 milliseconds,none
conganthachha.hatinh.gov.vn,Could not resolve host: conganthachha.hatinh.gov.vn,none
conganxakimno.gov.vn,Could not resolve host: conganxakimno.gov.vn,none
congbobanan.toaan.gov.vn,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
congchung.gov.vn,200,5 ALT1.ASPMX.L.GOOGLE.COM.; 15 hmb2nb5egjpsonxa2wjqiku2mznr6n2qaivccfrzlaqoafkrb3ra.mx-verification.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.
congthongtin.dkkd.gov.vn,Could not resolve host: congthongtin.dkkd.gov.vn,none
congthongtin.vkstuyenquang.gov.vn,Could not resolve host: congthongtin.vkstuyenquang.gov.vn,none
congthuongbackan.gov.vn,Could not resolve host: congthuongbackan.gov.vn,none
