hostname,score,sources,label,level
mup.vladars.net,6,wikidata;wikidata,Ministry of Interior of Republika Srpska | Police of Republika Srpska,central-1
narodnaskupstinars.net,6,wikidata;wikidata,National Assembly of Republic of Srpska,central-1
vladars.net,6,wikidata;wikidata,Ministry of Science and Technology | Q108052814,central-1
