qid,label
Q1042437,Hadjer-Lamis
Q1050621,Bahr el Gazel
Q1139666,Borkou
Q1149611,Sila Region
Q167514,Logone Oriental Region
Q175706,Guéra Region
Q177799,Moyen-Chari Region
Q180414,Batha Region
Q305257,Logone Occidental Region
Q3659,N'Djamena
Q385584,Salamat Region
Q597410,Mandoul Region
Q737711,Tibesti Region
Q841338,Ouaddaï Region
Q843975,Chari-Baguirmi Region
Q849841,Kanem Region
Q860813,Wadi Fira Region
Q867856,Tandjilé Region
Q867869,Lac Region
Q910393,Mayo-Kebbi Ouest Region
Q911421,Mayo-Kebbi Est Region
