domain,level,source,name
gov.my,central,manual,
johor.gov.my,central-1,manual,Johor
kedah.gov.my,central-1,manual,Kedah
kelantan.gov.my,central-1,manual,Kelantan
melaka.gov.my,central-1,manual,Malacca
ns.gov.my,central-1,manual,Negeri Sembilan
pahang.gov.my,central-1,manual,Pahang
penang.gov.my,central-1,manual,Penang
perak.gov.my,central-1,manual,Perak
perlis.gov.my,central-1,manual,Perlis
sabah.gov.my,central-1,manual,Sabah
sarawak.gov.my,central-1,manual,Sarawak
selangor.gov.my,central-1,manual,Selangor
terengganu.gov.my,central-1,manual,Terengganu
